county,pov,moe
Appling,39.5,10.2
Atkinson,45.5,8.6
Bacon,29.2,9.2
Baker,21.9,13.4
Baldwin,23.5,6.2
Banks,16.8,5.8
Barrow,11.8,2.5
Bartow,12.7,2.5
Ben Hill,40.0,8.2
Berrien,29.9,7.0
Bibb,39.1,4.3
Bleckley,23.9,5.7
Brantley,20.7,9.7
Brooks,36.2,12.2
Bryan,8.3,3.2
Bulloch,24.0,5.1
Burke,25.2,8.0
Butts,30.7,7.6
Calhoun,36.9,13.0
Camden,25.4,3.5
Candler,29.8,10.1
Carroll,22.6,4.6
Catoosa,12.9,4.9
Charlton,36.4,9.5
Chatham,20.3,2.1
Chattahoochee,17.3,7.2
Chattooga,29.3,5.2
Cherokee,8.3,1.7
Clarke,24.2,4.4
Clay,33.5,23.6
Clayton,24.4,2.7
Clinch,44.6,15.9
Cobb,10.4,0.9
Coffee,28.0,6.4
Colquitt,37.5,5.9
Columbia,10.5,3.0
Cook,26.2,7.5
Coweta,10.7,2.6
Crawford,19.3,6.1
Crisp,41.9,9.6
Dade,5.1,3.6
Dawson,14.4,9.2
Decatur,38.8,7.5
DeKalb,20.6,1.6
Dodge,25.4,6.7
Dooly,45.2,9.2
Dougherty,39.1,4.6
Douglas,16.3,3.8
Early,37.4,11.2
Echols,19.0,11.6
Effingham,6.5,1.9
Elbert,31.9,6.6
Emanuel,28.4,7.3
Evans,26.9,8.1
Fannin,18.1,7.8
Fayette,5.7,1.6
Floyd,25.8,3.2
Forsyth,5.3,1.2
Franklin,29.0,9.3
Fulton,17.3,1.3
Gilmer,22.1,8.1
Glascock,21.5,17.6
Glynn,29.2,5.0
Gordon,17.5,4.4
Grady,32.8,7.8
Greene,25.8,7.7
Gwinnett,13.3,1.2
Habersham,16.8,4.0
Hall,22.9,2.3
Hancock,53.6,22.9
Haralson,17.6,6.4
Harris,9.0,3.8
Hart,11.1,4.0
Heard,21.1,6.6
Henry,12.4,2.5
Houston,12.3,2.0
Irwin,31.0,11.1
Jackson,8.6,2.7
Jasper,14.4,8.2
Jeff Davis,31.9,10.6
Jefferson,30.4,7.6
Jenkins,23.2,14.7
Johnson,27.5,12.0
Jones,19.9,6.4
Lamar,12.9,7.3
Lanier,45.4,12.5
Laurens,35.0,4.8
Lee,11.9,5.4
Liberty,20.9,3.3
Lincoln,33.7,9.5
Long,16.0,7.4
Lowndes,27.1,3.6
Lumpkin,13.7,5.0
McDuffie,28.7,7.4
McIntosh,34.8,12.4
Macon,30.8,7.5
Madison,30.5,8.8
Marion,13.8,8.3
Meriwether,31.9,6.8
Miller,33.0,10.8
Mitchell,43.2,8.5
Monroe,18.4,6.1
Montgomery,21.7,7.5
Morgan,11.5,5.2
Murray,18.6,4.6
Muscogee,26.8,2.7
Newton,16.4,3.9
Oconee,5.5,3.0
Oglethorpe,17.8,6.8
Paulding,8.2,2.0
Peach,30.1,7.3
Pickens,22.8,5.1
Pierce,24.1,6.0
Pike,8.8,4.2
Polk,23.9,5.0
Pulaski,35.9,13.1
Putnam,26.8,8.9
Quitman,31.8,23.5
Rabun,20.7,8.0
Randolph,33.3,13.3
Richmond,31.5,3.3
Rockdale,17.3,3.9
Schley,10.6,6.4
Screven,37.1,10.8
Seminole,17.9,8.7
Spalding,29.9,5.8
Stephens,14.5,6.4
Stewart,24.3,18.1
Sumter,30.9,7.8
Talbot,28.3,11.5
Taliaferro,16.3,14.9
Tattnall,23.9,7.4
Taylor,37.7,10.6
Telfair,55.1,11.8
Terrell,47.7,9.2
Thomas,27.7,4.9
Tift,31.9,7.4
Toombs,29.1,6.9
Towns,24.3,8.4
Treutlen,47.9,18.0
Troup,25.6,5.4
Turner,24.1,10.3
Twiggs,17.7,8.6
Union,21.9,9.0
Upson,30.5,7.9
Walker,18.4,4.0
Walton,21.7,3.4
Ware,38.0,5.8
Warren,37.1,13.6
Washington,22.9,6.9
Wayne,26.1,6.0
Webster,46.3,25.1
Wheeler,25.1,14.8
White,23.3,8.6
Whitfield,20.9,4.6
Wilcox,33.1,9.2
Wilkes,27.6,11.0
Wilkinson,34.1,10.5
Worth,30.5,7.1
