county,pov,moe
Lake and Peninsula Borough,21.78727621201694,10.3
Wrangell,21.330290599637316,9.8
Kusilvak Census Area,19.78621873289986,5.2
Yukon-Koyukuk Census Area,19.302204988272276,5.4
Prince of Wales-Hyder Census Area,18.005895681382107,4.7
Denali Borough,17.871483110946652,13.100000000000001
Southeast Fairbanks Census Area,17.59968858935401,6.999999999999999
Bethel Census Area,17.562440535519087,3
Dillingham Census Area,17.406260872937736,3.8
Nome Census Area,17.283456281013564,3.4999999999999996
Northwest Arctic Borough,17.2629681524224,3.4000000000000004
Aleutians East Borough,16.947188544585533,6.599999999999999
North Slope Borough,15.966355178749984,6.1000000000000005
Yakutat,15.275146899107447,10.900000000000002
Kenai Peninsula Borough,14.710103194867472,3.5999999999999996
Aleutians West Census Area,14.545439527478107,5.500000000000001
Sitka,12.920957870880706,4.9
Hoonah-Angoon Census Area,12.849894985771854,4.300000000000001
Bristol Bay Borough,12.371097360893115,6.999999999999999
Matanuska-Susitna Borough,11.902995544130864,1.7000000000000002
Anchorage Municipality,11.634065401181696,1.7999999999999998
Ketchikan Gateway Borough,11.39185626094055,3.5999999999999996
Kodiak Island Borough,10.15024324491832,3.0999999999999996
Petersburg Borough,9.324459261558186,4.1000000000000005
Juneau,8.930764640251807,2.5
Skagway Municipality,8.2063189741472,4.9
Fairbanks North Star Borough,7.631147651380532,1.6
Haines Borough,6.0437817027545675,1.3
