county,pov,moe
Perry,27.149632168130424,13.199999999999998
Wilcox,24.321444141256602,11.700000000000001
Greene,23.918756836017693,13.4
Conecuh,23.33487924699894,13
Hale,23.148428193709787,12.5
Sumter,22.858150975591865,9.2
Bullock,22.75488842181815,11.700000000000001
Lowndes,21.63889181549891,10.1
Marengo,20.382425636834416,8.5
Fayette,20.343607936851072,8.3
Bibb,20.236522271527758,8.1
Pickens,20.193382910490467,8
Macon,19.788698869185804,7.500000000000001
Dallas,19.75240865294265,7.199999999999999
Butler,19.514562677676395,7.1
Barbour,18.534778340852213,5.4
Russell,17.83909561122542,7.1
Choctaw,17.260728129389697,7.199999999999999
Monroe,17.18591036983937,8.200000000000001
Pike,16.66605378719716,5.3
Coosa,16.39278243532315,10.8
Clarke,16.331837973186325,5.699999999999999
Franklin,16.174031810664854,7.199999999999999
DeKalb,15.943928927981737,4.4
Chambers,15.834702395829833,5.1
Geneva,15.613369430774448,5.699999999999999
Escambia,15.293228591883661,5.4
Dale,15.057999605360076,4.6
Clay,14.596106765708841,7.6
Jackson,14.536404497085927,4.9
Colbert,14.453624434567166,5.4
Covington,14.319289929836923,4.8
Tallapoosa,14.247065712032214,4.9
Randolph,14.186285484053956,6.1000000000000005
Talladega,14.071477825637643,4.1000000000000005
Winston,13.820752208128942,6
Montgomery,13.78729230399097,2.7
Lawrence,13.622342894279537,6.999999999999999
Washington,13.27543342122681,6.7
Cleburne,12.834687460551722,7.6
Coffee,12.29099636693066,3.4999999999999996
Marshall,12.24992583527119,3.2999999999999994
Marion,12.228731444558084,6.199999999999999
Crenshaw,12.00854255330438,6.5
Lamar,11.946143779971843,8.7
Henry,11.92439017917358,5.2
Houston,11.479983732344511,2.2
Walker,11.159930972728937,4
Etowah,11.000556425715116,2.9000000000000004
Mobile,10.954149752794315,1.7000000000000002
Calhoun,10.85889349559251,2.9000000000000004
Cherokee,10.74835184577517,4.9
Tuscaloosa,9.925992053780947,2.7999999999999994
Jefferson,9.900033293541266,1.7000000000000002
Lauderdale,9.218391630363058,2.9000000000000004
Morgan,9.051804231219117,2.9000000000000004
Chilton,8.988723692196062,4.2
Blount,8.933104510753424,3
Lee,8.663740374586133,3.2
Cullman,8.20077528515948,3.0999999999999996
Limestone,8.060053551223605,3.2999999999999994
St. Clair,7.85032700719183,3.4000000000000004
Autauga,7.291915115759886,3.4999999999999996
Madison,7.044996717421788,1.7000000000000002
Elmore,6.7478649528857275,2.9000000000000004
Baldwin,6.112672771284619,1.9
Shelby,5.443117327334068,1.5
