county,pov,moe
Nevada,25.89903011171493,10.900000000000002
Lee,23.884030314421494,10.900000000000002
Searcy,23.017682782640946,12.8
Monroe,21.754802296610322,11.000000000000002
Chicot,21.04581964351976,9.700000000000001
Desha,20.41369093482504,8.600000000000001
Phillips,20.382824418890593,6
Conway,20.056893562808703,8.4
Ashley,19.924898138450033,8.1
St. Francis,19.71348518711219,7.6
Hempstead,18.849520082238158,6.3
Columbia,18.826183388158565,6.199999999999999
Johnson,18.56952511938667,5.9
Poinsett,18.174872477746796,5.3
Lafayette,18.157583080774984,8.600000000000001
Drew,18.006494712513003,9.4
Hot Spring,17.518645528338244,6.9
Lincoln,17.324621486598403,10.3
Randolph,17.23976820300654,6.999999999999999
Dallas,16.997418321558893,13.899999999999999
Clay,16.975279873217026,6.999999999999999
Ouachita,16.863255577227765,8.600000000000001
Cross,16.851037613015023,6.5
Mississippi,16.726448336506966,4.8
Sevier,16.60969053488964,7.199999999999999
Stone,16.59121106989101,7.6
Izard,16.574792337009388,8.9
Jackson,16.432464011552604,7.500000000000001
Woodruff,16.370836399461385,8.7
Madison,16.291941461550035,6.800000000000001
Howard,16.17847142533762,9
Crawford,16.08988039797824,6
Clark,16.055735640873284,7.400000000000001
Franklin,15.535274039530975,9.700000000000001
Scott,15.474129855190355,8.5
Jefferson,15.441105580619416,4.7
Cleveland,14.791029765614075,9.9
Lawrence,14.412079043734563,6.1000000000000005
Independence,14.075980696007429,5.4
Crittenden,14.00714273356698,4
Polk,13.976825089080974,6.199999999999999
Greene,13.964071258564681,4.9
Sharp,13.928072292546153,7.500000000000001
Van Buren,13.565741105883394,7.1
Perry,13.427678555651815,8.3
Craighead,12.794251439632538,3.4000000000000004
Miller,12.699899409157245,4.6
Logan,12.514936616633493,6.1000000000000005
Union,12.348670910705053,4.5
Garland,12.245843683022462,3.4999999999999996
Grant,12.116090534872894,6.5
Cleburne,12.094185413340606,5.699999999999999
Marion,11.821110937456961,6.3
Montgomery,11.78688255854843,7.6
Baxter,11.56820763926498,5.4
Fulton,11.524491234223328,7.500000000000001
Newton,11.42018375278952,8.8
Little River,11.27061472680017,6.3
Pope,11.221510212138305,3.4999999999999996
Pulaski,11.163283324357156,2.6
Carroll,11.131504541633099,5.500000000000001
Bradley,10.32832850375953,6.1000000000000005
Arkansas,10.308918088990564,5.699999999999999
Sebastian,10.097449690491196,2.7
Pike,9.50523870546439,5.9
White,9.463775309710377,3.2999999999999994
Yell,8.280127147789992,4.5
Boone,8.01538951777421,4.5
Lonoke,7.841117732526169,3
Washington,7.820394721692829,2
Faulkner,7.112382238935947,2.7999999999999994
Calhoun,7.040407092975159,6.3
Saline,6.69132274351102,2.2
Benton,6.299906528983544,1.7000000000000002
Prairie,6.005610557003655,5.699999999999999
