county,pov,moe
La Paz,20.707300952464383,8.200000000000001
Gila,19.14743707262741,5.3
Santa Cruz,18.964150550423977,5.599999999999999
Apache,17.73326990455369,3.2
Mohave,17.25852089099837,3.2999999999999994
Navajo,17.200631362287893,2.7
Yuma,16.817188357722877,2.7
Graham,14.98088279380609,4.4
Cochise,14.888062957664689,2.9000000000000004
Yavapai,11.776534769891702,2.9000000000000004
Pima,11.22577908474636,1.3
Maricopa,9.589075950021753,0.658
Greenlee,9.433237931348541,8.3
Pinal,9.149913950916245,1.5
Coconino,8.628013470525996,2.5
