county,pov,moe
San Juan,41.991040307467706,31.6
Jackson,34.80568226059104,24.3
Huerfano,27.364057688210014,15.8
Bent,24.524089812008686,13.5
Costilla,24.039403326780047,12.9
Saguache,23.226912849625403,11.9
Sedgwick,23.061474649120147,11.700000000000001
Las Animas,21.424961408435863,9.2
Baca,21.398238668443675,9.1
Rio Blanco,21.3689824074622,9.4
Yuma,21.317664400536977,9.2
Gilpin,20.73936647690005,18.5
Prowers,20.3204397756119,7.8
Otero,19.813611382657687,6.800000000000001
Delta,19.31527632991209,6.199999999999999
Conejos,19.146930778923725,6.1000000000000005
Fremont,18.079801214997776,4.5
La Plata,17.295977019710943,3.4000000000000004
Pueblo,17.081008903305367,3
Alamosa,16.826119656929066,7.6
Crowley,16.6210677637939,6.5
Morgan,16.280036007418015,4.9
Logan,16.157749868800327,7.400000000000001
Dolores,16.089326648133586,12.200000000000001
Denver,16.009549087623824,1.5
Phillips,15.687518028247807,8.8
Kiowa,15.36348803124297,7.7
Cheyenne,15.306817366497045,8.9
Montrose,14.994330428721314,4.9
Moffat,14.936820479874838,6.5
Rio Grande,13.608037517869128,8
Montezuma,13.382764920186505,5.800000000000001
Mesa,12.653321735496942,3.2
Mineral,12.559767526420218,10.7
Park,12.396267695684344,7.3
Kit Carson,11.730620936390967,4.7
Washington,11.628018193054762,5.1
Gunnison,11.153476945134466,7.9
Chaffee,11.081619850966906,4.9
Lake,10.777989240684313,7.6
Lincoln,10.61720258121833,5.699999999999999
Eagle,10.548480417750735,4.7
Adams,10.291753358346767,1.3999999999999997
Archuleta,9.975403344406882,5
Weld,9.83026372889268,1.3999999999999997
El Paso,9.502180673140751,1.3
Pitkin,9.462705757524569,5.9
Garfield,9.297059796621838,3.0999999999999996
Arapahoe,8.842675455413737,0.8999999999999999
Larimer,8.592200662766794,2
San Miguel,8.521759574160106,4.9
Grand,8.500039945369982,5.3
Summit,8.053280019150407,4.8
Hinsdale,7.720941929747108,30.099999999999998
Jefferson,7.528684214514364,1.1
Teller,7.439684074885079,3.8
Boulder,7.266838387829027,1.1
Custer,7.2223235593366155,5.1
Clear Creek,6.883475242004504,4.9
Routt,6.734968574281072,2.7999999999999994
Broomfield,6.696677858889977,1.9
Elbert,5.945502450050482,2
Douglas,5.563176516234111,0.658
Ouray,5.403094287597915,2.1
