county,pov,moe
Franklin,29.09874537386977,14.100000000000001
Hardee,23.253664108965573,9.2
Glades,22.226122571537235,11.8
DeSoto,20.72844040777999,9.1
Hamilton,20.634452857233267,9.1
Washington,20.57217677920319,9.2
Lafayette,20.565443312350258,13.5
Madison,20.357176039047452,8.7
Gadsden,20.05330164673516,6.199999999999999
Taylor,19.578482094093903,11.5
Sumter,19.570063508561905,7.3
Jefferson,19.492744072283205,7.500000000000001
Dixie,19.301440808139738,10.4
Jackson,18.97546370824213,6.599999999999999
Okeechobee,18.836813706319113,6.3
Putnam,18.735560664557855,6
Calhoun,18.64802341127856,8.600000000000001
Union,18.51665411015607,10.1
Liberty,18.407204275253637,8.3
Bradford,17.909400959981685,7.6
Hendry,17.887313326236313,6.7
Holmes,17.65463773018016,8.4
Levy,16.795120436700035,5.800000000000001
Baker,16.01136856103783,6.199999999999999
Highlands,15.649372684664641,4.2
Citrus,15.564379418762552,3.8
Suwannee,15.524254640677382,4.8
Columbia,14.68948948316537,4
Escambia,14.313100610072937,2.4
Gulf,14.153551941775666,6.9
Walton,14.151727649436523,4.4
Martin,13.94009780069232,4
St. Lucie,13.604177271235526,2.6
Charlotte,13.531593101058528,3.2999999999999994
Marion,13.141884696457018,1.9
Polk,12.912060936057188,1.3999999999999997
Leon,12.70021055851806,2.2
Duval,12.490482637414905,1.3999999999999997
Indian River,12.377652426217962,2.9000000000000004
Osceola,12.266501277621472,2
Alachua,12.145397295444491,2.7999999999999994
Bay,11.99268163372859,2.4
Miami-Dade,11.821020845739872,0.8999999999999999
Hernando,11.742288803095645,2.7999999999999994
Orange,11.59828857665796,1.1
Lee,11.314013389077138,1.5
Hillsborough,11.271109443325274,1
Gilchrist,11.255980356802118,5.4
Collier,11.155154367733852,2.3
Pasco,10.971739890367624,1.6
Monroe,10.941665515831819,3.5999999999999996
Flagler,10.732367930146767,3.0999999999999996
Okaloosa,10.680718578491136,2.6
Manatee,10.673620888023203,2.2
Broward,10.522085538975807,1
Volusia,10.462663511673185,1.7000000000000002
Lake,10.443204026798728,2.5
Palm Beach,10.252413843083136,1.1
Clay,10.116734961469836,3.0999999999999996
Nassau,9.801235631319285,3.8
Pinellas,9.243256649186664,1.2
Brevard,9.230742597386019,2
Sarasota,8.504194110983269,2
Seminole,7.936262369661333,1.2
Santa Rosa,7.8402173722208905,2.1
St. Johns,7.192864391318585,1.6
Wakulla,6.837725877885729,3.5999999999999996
