county,pov,moe
Hancock,36.643960678582324,22.900000000000002
Treutlen,30.014996086308237,18
Webster,30.0136423480053,25.1
Telfair,27.99729236525267,11.8
Clay,24.456495623933584,23.6
Clinch,24.385621141854745,15.9
Quitman,23.819866539129542,23.5
Lanier,22.427617933426845,12.5
Taylor,21.07328281521322,10.6
Appling,20.941762334441094,10.2
Warren,20.710903498764804,13.600000000000001
Crisp,20.629403703190413,9.6
Terrell,20.521236249633173,9.2
Dooly,20.44867203023663,9.2
Calhoun,20.340078323835503,13
Pulaski,20.151197395618453,13.100000000000001
Atkinson,20.12713184797641,8.600000000000001
Mitchell,20.00089348678867,8.5
Early,19.8939656701184,11.199999999999998
Randolph,19.86874911281053,13.3
Brooks,19.814948162160817,12.200000000000001
Ben Hill,19.792555661090763,8.200000000000001
McIntosh,19.703288691040914,12.399999999999999
Screven,19.540120636066277,10.8
Decatur,19.325728815585137,7.500000000000001
Stewart,19.26467382544698,18.1
Wilkinson,18.78060250871519,10.5
Charlton,18.650256452459953,9.5
Miller,18.639658141824572,10.8
Jeff Davis,18.39428940482779,10.6
Irwin,18.37071474702186,11.1
Colquitt,18.369214588172895,5.9
Ware,18.334157254323376,5.800000000000001
Lincoln,18.262662552660164,9.5
Wheeler,18.09743425896926,14.800000000000002
Wilcox,17.95872891443709,9.2
Dougherty,17.661921977551604,4.6
Glascock,17.66113137456594,17.6
Johnson,17.64199930749759,12
Talbot,17.626565432884412,11.5
Bibb,17.496576983218628,4.300000000000001
Candler,17.39473695037663,10.1
Jenkins,17.277967673725357,14.7
Wilkes,17.26160997367561,11.000000000000002
Grady,17.189162595537645,7.8
Madison,17.127722052580264,8.8
Bacon,16.887824327836366,9.2
Franklin,16.79097033242615,9.3
Sumter,16.790247068225916,7.8
Tift,16.7886536521861,7.400000000000001
Upson,16.64686807403197,7.9
Butts,16.594302950285254,7.6
Macon,16.592692592662967,7.500000000000001
Elbert,16.534403981507598,6.599999999999999
Meriwether,16.534376648201775,6.800000000000001
Jefferson,16.401870912619355,7.6
Baker,16.39101334913691,13.4
Peach,16.201314393827186,7.3
Worth,16.194645418580038,7.1
Laurens,16.09012866338033,4.8
Putnam,16.066352449568445,8.9
Berrien,15.996693709340137,6.999999999999999
Turner,15.911206361824954,10.3
McDuffie,15.817669766748127,7.400000000000001
Evans,15.779462084647781,8.1
Emanuel,15.716672412543886,7.3
Toombs,15.650760827629759,6.9
Cook,15.32302602845058,7.500000000000001
Greene,15.27312376238946,7.7
Spalding,15.272655602322402,5.800000000000001
Burke,15.217324243506242,8
Towns,15.20208732178156,8.4
Coffee,15.12274258758678,6.4
White,14.793721193722439,8.600000000000001
Chattooga,14.788095710210014,5.2
Echols,14.704828857332458,11.600000000000001
Dodge,14.571517151375943,6.7
Glynn,14.544864094199534,5
Union,14.498291522529428,9
Wayne,14.416146501585317,6
Brantley,14.354170628600823,9.700000000000001
Taliaferro,14.336333792545059,14.900000000000002
Tattnall,14.298781145217621,7.400000000000001
Gilmer,14.187846443760499,8.1
Thomas,14.095956670537335,4.9
Richmond,14.04954531081502,3.2999999999999994
Troup,13.85656296105148,5.4
Pierce,13.758930989298449,6
Washington,13.725492467360368,6.9
Montgomery,13.688375943550602,7.500000000000001
Baldwin,13.540734929796558,6.199999999999999
Rabun,13.487727980670448,8
Bleckley,13.38746671180136,5.699999999999999
Seminole,13.095694828405804,8.7
Bulloch,13.01555773374673,5.1
Heard,12.983783080973724,6.599999999999999
Twiggs,12.889659666052697,8.600000000000001
Lowndes,12.825268318126518,3.5999999999999996
Polk,12.822282533248272,5
Fannin,12.734270449792856,7.8
Clarke,12.631021843532453,4.4
Pickens,12.478158777538523,5.1
Jones,12.388140689329767,6.4
Camden,12.219635001429427,3.4999999999999996
Crawford,12.129452539118594,6.1000000000000005
Floyd,12.097520471297932,3.2
Oglethorpe,12.038073712029297,6.800000000000001
Carroll,12.026322270078136,4.6
Dawson,11.975023450886276,9.2
Chattahoochee,11.941633231850679,7.199999999999999
Monroe,11.914750574519733,6.1000000000000005
Muscogee,11.825212617358835,2.7
Haralson,11.646895534691785,6.4
Whitfield,11.465099116576456,4.6
Jasper,11.432768519337005,8.200000000000001
Marion,11.374217273581419,8.3
Long,11.341482554774224,7.400000000000001
Clayton,11.255744786927968,2.7
Murray,10.940694526702185,4.6
Banks,10.875898616760004,5.800000000000001
Walton,10.737158153633699,3.4000000000000004
Stephens,10.71064615543621,6.4
Liberty,10.49005832038108,3.2999999999999994
Lamar,10.471794899486019,7.3
Walker,10.361363972978047,4
Hall,10.309940048315022,2.3
Gordon,10.244035504100323,4.4
Rockdale,9.693963187024252,3.9
Habersham,9.619657540649825,4
Lumpkin,9.523992552916651,5
Newton,9.484841209442552,3.9
Chatham,9.437228569530602,2.1
Douglas,9.351706642581467,3.8
Catoosa,9.283529635107156,4.9
DeKalb,9.237793951249277,1.6
Lee,9.056583441049126,5.4
Schley,8.930394507463257,6.4
Morgan,8.732732702510193,5.2
Fulton,8.43067747087245,1.3
Hart,8.050257661310551,4
Bartow,7.927132637231639,2.5
Henry,7.85467669925146,2.5
Gwinnett,7.711004291087929,1.2
Barrow,7.626089113711486,2.5
Houston,7.611049640478335,2
Pike,7.440711807405082,4.2
Harris,7.419314589391429,3.8
Coweta,7.408947015964726,2.6
Columbia,7.354831764334873,3
