county,pov,moe
Butte,27.701888175772716,13.8
Boundary,23.68408043929034,10.900000000000002
Lincoln,22.011066929162133,10.8
Boise,21.90216934605825,10.900000000000002
Washington,20.42374379090978,8.200000000000001
Custer,20.15095222774891,14.800000000000002
Gooding,19.616240813722488,7.199999999999999
Jerome,19.32626264433694,6.5
Minidoka,19.245993639238456,6.5
Lewis,19.18531954134784,4.9
Owyhee,19.14109093442011,6.3
Shoshone,18.870867872219065,6
Gem,18.631880622864326,5.699999999999999
Valley,17.713526245937526,12
Benewah,17.170464124954663,6.999999999999999
Twin Falls,16.18572684463481,4.300000000000001
Adams,15.722434159487491,9.1
Nez Perce,15.64899399665177,4.8
Fremont,15.114290609909315,5.3
Oneida,14.903356005166302,6.999999999999999
Madison,14.772382686141148,4.4
Power,14.664124770985579,9
Clearwater,14.559574134302794,6
Bonner,13.797037287451152,3.9
Bear Lake,13.405897713346912,5.4
Bannock,12.640741896827931,3
Cassia,12.021783722962603,4.300000000000001
Elmore,11.934068135697018,3.9
Payette,11.42434002830473,5.3
Blaine,11.399919403341183,6.199999999999999
Teton,10.686792528682387,6.800000000000001
Bingham,10.517650554307314,3.0999999999999996
Camas,10.22508180220183,10.5
Latah,9.646316975706975,4
Bonneville,9.597733305498963,2.4
Canyon,9.419485068638375,1.7000000000000002
Lemhi,9.359192952463372,5.1
Kootenai,9.120571480163035,2.3
Franklin,8.981493729987003,5.1
Jefferson,8.893052184549209,3.2
Clark,8.334934228309383,9.6
Idaho,7.344118469970859,4.4
Ada,7.120856231320341,1.2
Caribou,5.782501745017488,3.9
