county,pov,moe
Montmorency,24.699136888406862,9.700000000000001
Luce,20.464712849615637,9
Schoolcraft,19.533442230922976,7.500000000000001
Clare,19.485687015742158,5
Lake,19.098832220845736,6.599999999999999
Ogemaw,19.08038765553868,6.599999999999999
Alcona,18.911308440506918,6.5
Chippewa,18.588143991686362,5.699999999999999
Mason,18.50811588913769,5.699999999999999
Mackinac,18.492333734947124,5.699999999999999
Roscommon,17.994446414592794,4.8
Iron,17.752073526591687,7.1
Hillsdale,17.74470292015279,4.5
Ontonagon,17.52499102384896,7.7
Saginaw,16.87999258072173,3
Newaygo,16.816278393960225,4.8
Berrien,16.797097628913278,3
Presque Isle,16.772812879541572,6.1000000000000005
Oscoda,16.741647607560342,6.9
Sanilac,16.663825917252954,4
Iosco,16.615618009579773,5.1
Alpena,16.546320062073185,4.6
Branch,16.339259661837723,4.5
Kalkaska,16.313100525086778,5.599999999999999
Gratiot,16.27608208406765,4
Cass,16.166087946760854,4.1000000000000005
Osceola,16.01548399580006,4.2
Gladwin,15.98861907917635,4.5
Cheboygan,15.980313878243471,4.4
Bay,15.879037155973567,3.2
Baraga,15.86343183488948,6.4
Calhoun,15.84327835999732,2.7
Crawford,15.78649731370232,4.6
Keweenaw,15.765089683594733,10.1
Wayne,15.733543787429296,0.8999999999999999
Oceana,15.725507469405983,3.9
Gogebic,15.628067542605162,5.4
Isabella,15.500031586234378,3.2999999999999994
Mecosta,15.210222861909942,3.4000000000000004
Genesee,15.096720386390755,1.7999999999999998
Van Buren,15.078392331187091,2.9000000000000004
St. Joseph,15.009652013755822,3.8
Wexford,14.908786599375526,3.4999999999999996
Delta,14.832321285103637,4.300000000000001
Arenac,14.66777839674781,3.8
Missaukee,14.525170588604267,4.2
Grand Traverse,14.406144279045016,3.4000000000000004
Muskegon,14.109731625948523,2.4
Manistee,13.872459625463252,3
Antrim,13.845548747778235,3.7000000000000006
St. Clair,13.450955731379025,2.1
Shiawassee,13.434669705906604,3.8
Jackson,13.40716673947268,2.2
Montcalm,13.190813885027078,2.6
Huron,13.102105911532385,2.6
Ingham,13.012006257762398,2
Otsego,12.827152677544507,3.4000000000000004
Monroe,12.63673806734408,2.6
Benzie,12.376269409348083,3.5999999999999996
Marquette,12.35841136971971,3.2999999999999994
Lenawee,12.288840785197594,2.1
Tuscola,12.222221846611248,2.3
Allegan,12.025843344676241,2.2
Charlevoix,11.784706605430383,4.6
Clinton,11.733085691834882,3.4000000000000004
Lapeer,11.61800603456144,2.3
Midland,11.368748238383851,2.4
Houghton,11.334731923329114,2.7999999999999994
Ionia,11.294089995318098,2.6
Kalamazoo,11.170389898522808,1.9
Kent,11.128401091591755,1.2
Leelanau,10.866979172695354,3
Macomb,10.856095654276562,1
Dickinson,10.852215958198963,4.5
Emmet,10.391490642460955,3.4999999999999996
Menominee,10.30137909167167,2.5
Barry,10.190358298694651,2.9000000000000004
Washtenaw,9.989855436521994,1.5
Alger,9.062988031009471,3.7000000000000006
Eaton,8.71635206299671,1.5
Oakland,8.202662509308404,0.658
Ottawa,7.483728776114818,1.1
Livingston,6.742270627301868,1.6
