county,pov,moe
Watonwan,22.65572408281733,8.1
Lake of the Woods,21.479781385934483,11.000000000000002
Koochiching,21.2562483692951,7.500000000000001
Mahnomen,19.626154909666205,4.2
Pipestone,17.927131846813634,5
Todd,17.548769097346227,4.300000000000001
Clay,17.528312400629694,4.4
Mower,17.501751294609427,4.300000000000001
Grant,17.489478013035054,6.1000000000000005
Nobles,17.366256148404773,5.599999999999999
Cass,17.20677119593544,3.7000000000000006
Wilkin,17.090977338908264,6.9
Kandiyohi,17.055791952105494,3.5999999999999996
Carlton,17.029794984747923,4.8
Martin,16.94137567617167,5.2
Big Stone,16.89603665211577,5.500000000000001
Cottonwood,16.886532670208354,4.8
Beltrami,16.860416562376397,3.0999999999999996
Faribault,16.815210806723936,4.2
Chippewa,16.712910988181054,5.800000000000001
Roseau,16.561986588288686,4.6
Wadena,16.46391965150466,5
Pennington,16.441062613266833,4.7
Cook,16.236948715489795,5.500000000000001
Mille Lacs,16.228395734817873,3.7000000000000006
Jackson,16.11052867955103,4.5
Aitkin,16.04704194357409,3.5999999999999996
Ramsey,15.982939049345118,1.7000000000000002
Becker,15.80697695850242,2.7
Itasca,15.775100876891578,3
Stearns,15.71923126374399,3.2
Polk,15.696963115722356,3.2999999999999994
Sibley,15.620778074392316,5.4
Renville,15.567557996773921,3.2999999999999994
Swift,15.54802278099728,3.4000000000000004
Nicollet,15.440830523710822,3.9
Traverse,15.405477911830365,4.6
Crow Wing,15.402896322916485,2.7999999999999994
Freeborn,15.317907374239544,3.2
Rice,15.274936082274095,3.8
Pope,15.245184274468308,4.2
Isanti,15.193487325707727,3.9
Lyon,15.147741935718335,3.0999999999999996
Kanabec,15.06706596771526,3.8
Benton,14.777837660988293,3.4999999999999996
Blue Earth,14.744642550115724,2.7999999999999994
Goodhue,14.723078564155431,2.9000000000000004
Fillmore,14.689470514870017,2.7999999999999994
Marshall,14.687023571714652,4.4
Pine,14.673712038653584,2.6
Norman,14.498236634349201,3.7000000000000006
Lac qui Parle,14.356277624963317,3.2999999999999994
Red Lake,14.208700941347674,4.1000000000000005
St. Louis,14.0797614284934,1.7000000000000002
Morrison,13.908483803344488,2.7
Redwood,13.693685917406947,2.7
Le Sueur,13.640910609544775,3.0999999999999996
Kittson,13.63239263925585,4
Rock,13.469031837645002,3.0999999999999996
Hubbard,13.398606110870743,2.5
Yellow Medicine,13.170121576493793,2.9000000000000004
Clearwater,13.16323794873641,2.5
Douglas,13.086236561910958,3
Wabasha,12.88164043297014,2.9000000000000004
Brown,12.757779305720824,3.2
Otter Tail,12.525712399785244,2
Stevens,12.411161941537236,3.0999999999999996
Steele,12.355397738245975,2.5
Hennepin,12.314466806501914,0.8
Winona,11.94971325585005,2.2
Meeker,11.640048816746823,2.2
McLeod,11.563036019351477,2.7999999999999994
Lincoln,11.253583190788822,2.3
Murray,10.977267150659472,2.3
Olmsted,10.9452945766793,1.6
Lake,10.918450301779561,3.0999999999999996
Anoka,10.547017776866408,1.1
Chisago,10.38526824380847,1.9
Scott,10.352100688578332,2.1
Dakota,10.006643134317269,0.8999999999999999
Houston,9.966669517624375,2.1
Sherburne,9.922622530192076,2.4
Waseca,9.327878964584363,2.4
Dodge,9.277678295995804,1.7000000000000002
Wright,8.506677484150082,1.3999999999999997
Washington,7.88765078659944,0.8999999999999999
Carver,7.046383968336961,1
