county,pov,moe
Jefferson,29.649490547276315,13.3
Humphreys,28.893721483631452,14.7
Tunica,28.17982989798168,15.8
Winston,21.46257094580556,11.000000000000002
Quitman,21.31650288104311,10.6
Holmes,20.233656486428874,9.1
Leflore,19.725160279604157,8.1
Kemper,19.699475292692345,11.1
Jefferson Davis,19.32584064706336,11.9
Pike,19.28289990021978,7.500000000000001
Montgomery,19.206119409789228,13.999999999999998
Coahoma,19.140927187224882,6.9
Claiborne,18.541926947429747,13.700000000000001
Franklin,18.338237197750278,11.5
Bolivar,18.31344935828329,5.599999999999999
Sharkey,17.973862971005463,12.6
Washington,17.8961342290854,5
Tallahatchie,17.732075741120514,8.7
Amite,17.604244478023734,9.4
Marion,17.230026507055346,10.4
Noxubee,17.22102060421726,9.700000000000001
Chickasaw,17.181342355785077,7.8
Yazoo,17.11987200747131,6.199999999999999
Covington,17.062428632544986,9.8
Sunflower,16.925270928781377,6.5
Copiah,16.904044308388542,7.7
Newton,16.882884450995522,8.1
Neshoba,16.879811644137998,6.1000000000000005
Yalobusha,16.83259556613446,10.2
Attala,16.57494273526231,7.9
Adams,16.512314960053992,6.7
Wilkinson,16.351372713309186,10.3
Benton,15.741622539354147,10.7
Stone,15.701614147766795,9.1
Grenada,15.538948182874893,8.1
Marshall,15.332747677708324,7.9
Leake,15.124640354212515,7.1
Perry,15.054022644733559,9.4
Calhoun,14.878279198276676,8.3
Lauderdale,14.803038791352478,5.3
Jasper,14.62056397664988,10.1
Wayne,14.609936270167356,8.7
Clay,14.584614337048443,7.3
Scott,14.512170944628036,7.8
Choctaw,14.488481365486003,10.1
Carroll,14.154909503267636,11.399999999999999
Jones,14.132815877457242,5.3
Lawrence,14.022830201153411,8.5
George,13.708858181153182,7.400000000000001
Lincoln,13.43623509872496,5.599999999999999
Tippah,12.92316498505715,7.9
Warren,12.68477986076564,5.9
Greene,12.332393695894249,7.6
Forrest,11.973449666514444,4.6
Tate,11.90056809505316,8
Pontotoc,11.840919059885724,5.599999999999999
Clarke,11.82592620540369,6.199999999999999
Smith,11.803865974899958,6.9
Webster,11.43358380080494,7.400000000000001
Hinds,11.386665566502105,2.9000000000000004
Tishomingo,11.304300825952673,6.3
Lowndes,10.930076838638096,4.2
Simpson,10.880507616240282,6.999999999999999
Hancock,10.596834008116994,6.800000000000001
Panola,10.01062683146115,5.2
Issaquena,9.861651826838996,18.9
Oktibbeha,9.814937308084753,5.699999999999999
Lamar,9.665018329965397,4
Harrison,9.44181587835776,2.4
Prentiss,9.338509598588503,6.7
Alcorn,8.7509346483724,4.4
Pearl River,8.6954001329766,4
Monroe,8.552084706796125,5.500000000000001
Walthall,8.548490630294129,6.599999999999999
Lafayette,8.1054632634557109,5
Jackson,7.9745764010741516,3.0999999999999996
Lee,7.9100981087723055,3.2999999999999994
Union,7.480034125385802,4.6
Madison,6.6990005788918365,2.9000000000000004
DeSoto,6.252931773278118,1.9
Rankin,5.921741558172881,3.4000000000000004
Itawamba,5.519265511898464,4.6
