county,pov,moe
Liberty,30.545472582149124,18.2
Judith Basin,26.304090356495212,17.5
Wibaux,25.75311876933654,16.400000000000002
Wheatland,24.932344816313023,15.300000000000002
Meagher,24.33746318046358,14.6
Deer Lodge,21.915610451069664,10.6
Fergus,21.712201382405272,10.6
Glacier,21.532977945154197,8.200000000000001
Roosevelt,21.074816084065212,6.599999999999999
Lincoln,21.056767702071717,9.1
Rosebud,20.656123028461092,8.8
Daniels,20.558858043228998,15.7
Pondera,20.403462615392133,8.200000000000001
Carter,19.04026887581814,12.9
Big Horn,18.64242474606062,5.500000000000001
Lake,18.627370534657167,5.699999999999999
Sanders,17.960122681896365,9.1
Teton,17.41088036235185,10.900000000000002
Blaine,17.174313431026732,6.5
Mineral,17.12559401899833,9.2
Treasure,16.46454850546836,11.3
Musselshell,16.1584400524782,9.6
Hill,15.632181599153727,6.7
Park,15.566776415275719,7.9
Prairie,14.537842898313405,10.4
Valley,14.486717168441704,7.500000000000001
Silver Bow,14.000566955315746,4.9
Toole,13.651152256167244,9.4
Powder River,13.464765069895272,8.5
Beaverhead,13.205114761410073,6.4
Chouteau,13.186973585716158,5.699999999999999
Broadwater,12.765184398216544,8
Carbon,12.461295839090731,5.599999999999999
Garfield,12.047286027640666,10.4
Golden Valley,11.961803937632366,7.8
Cascade,11.877599749134554,3.2999999999999994
Ravalli,10.622994918268185,3.4999999999999996
Yellowstone,10.005106834021943,1.9
Sheridan,9.959773746091791,5.1
Flathead,9.210970648620636,2.7
Lewis and Clark,9.050578252177491,2.7
Fallon,9.04340681009452,6.599999999999999
Stillwater,8.690092019723371,4
Gallatin,8.645852076868204,3.2
Powell,8.535128464529421,6.1000000000000005
Missoula,8.498842637986781,2.2
Custer,8.284537036944341,4
Petroleum,8.149456904836804,30.699999999999996
Madison,8.067701486006717,3.0999999999999996
Dawson,7.94251965975645,3.7000000000000006
Phillips,7.092523795833359,3.0999999999999996
Sweet Grass,6.942703011103574,5.2
Jefferson,6.840640059988498,3
Richland,6.602739488628082,3
Granite,5.9667615499219755,2.6
McCone,5.615139771832291,2.6
