county,pov,moe
Blaine,38.130774548331026,21
Boyd,26.594913644426914,13.899999999999999
Wheeler,26.159249207271053,19.3
Dundy,24.5427943608019,16
Franklin,23.411844979885707,8.9
Red Willow,21.146976878308628,10.5
McPherson,20.764811384227432,15.2
Sioux,20.568031412304556,12.6
Greeley,19.168689236213922,7.3
Rock,18.5698931223644,11.199999999999998
Burt,18.556421996297058,6
Dawson,18.534426210509718,6
Dakota,18.21785214625597,5.599999999999999
Pawnee,17.94715593921533,8
Custer,17.941385597404427,7.8
Thurston,17.880644999808613,4.8
Garfield,17.850537966325852,10.2
Cherry,17.735819108445916,9.8
Hayes,17.719131385588398,8.9
Kimball,17.574543300607477,11.000000000000002
Chase,17.50013475172627,11.000000000000002
Kearney,17.427006888412794,8
Nemaha,17.420683393607188,7.400000000000001
Phelps,17.315739967792453,6.3
Hall,17.269030243948087,3.9
Frontier,17.027437762106544,6.9
Keith,16.97921082661655,9.2
Sherman,16.907234632794022,7.9
Gage,16.89056271954399,5.2
Nance,16.71396838266799,6.7
Cheyenne,16.52445720969549,6.999999999999999
Scotts Bluff,16.425620278556597,5.3
Saline,16.179990396366982,4.7
Furnas,16.148984055037012,5.1
Richardson,15.912810577186963,6.5
Otoe,15.90658833750132,5.599999999999999
Garden,15.554525296104604,7.500000000000001
Arthur,15.524327193569052,11.1
Keya Paha,15.5187234291731,9.6
Sheridan,15.49816653919416,4.8
Polk,15.382103970470487,5.699999999999999
Dawes,15.225007694284557,6.599999999999999
Antelope,15.0802424262113,5.699999999999999
Dixon,14.972238774887577,6.3
Perkins,14.931284495037975,6.800000000000001
Madison,14.519199231766722,4.2
Adams,14.349107217561327,4.300000000000001
Merrick,14.080024263305116,5.3
Hitchcock,14.013272121165027,4.300000000000001
Morrill,13.768896546373846,6.4
Gosper,13.239759507440654,5.9
Washington,12.677151357170418,3.9
Clay,12.672969573216381,4
Holt,12.64597133464914,4.300000000000001
Knox,12.532330784499662,3
Valley,12.452433779315873,5.1
Colfax,12.345284967666077,5.599999999999999
York,12.302564764043977,3.7000000000000006
Thayer,12.284370033114643,4
Logan,12.16454204586553,5.9
Box Butte,12.147868560011501,5
Pierce,12.007645677591325,4.4
Stanton,11.815685007598464,6.5
Buffalo,11.621495542916975,2.7
Cuming,11.55799968652073,4.7
Wayne,11.477601513932884,4.300000000000001
Platte,11.45859338986774,2.9000000000000004
Lincoln,11.367819666446028,3.0999999999999996
Douglas,11.365217511813587,1.2
Nuckolls,10.963782703394005,4.1000000000000005
Dodge,10.916918358769726,2.9000000000000004
Brown,10.891976539802958,5.3
Hooker,10.815963838115671,16.7
Lancaster,10.81244428262348,1.3999999999999997
Webster,10.59333800638682,4.1000000000000005
Boone,10.117872459870142,3.2999999999999994
Hamilton,10.098368607232883,3.5999999999999996
Saunders,10.044621535920163,3.7000000000000006
Johnson,9.96637355901832,4.4
Loup,9.777683107517701,16.2
Thomas,9.356352926366359,24.6
Butler,8.940891951208773,2.5
Seward,8.651469706636695,2.4
Harlan,8.62234516079219,3.2
Grant,8.584067512642228,4.2
Jefferson,8.581833976198713,3.8
Fillmore,8.509178278970264,3.2999999999999994
Cass,8.481079233434553,2.6
Deuel,8.06872736051022,4.1000000000000005
Sarpy,8.064767695347758,1.1
Cedar,7.675207308467316,2.6
Banner,6.991784723612013,2.6
Howard,6.853169416220759,0.8999999999999999
