county,pov,moe
Salem,18.423204341336724,4.2
Cumberland,17.64785522003639,3.0999999999999996
Atlantic,16.44936710466318,2.1
Ocean,16.41336872267335,2.1
Passaic,16.173802945083228,1.5
Cape May,16.163765866981684,3.2999999999999994
Hudson,15.9785373814687,1.3999999999999997
Camden,15.954150436217022,1.3999999999999997
Essex,15.849460832233712,1.2
Mercer,15.557308905668377,1.9
Warren,14.797156422644472,2.4
Union,14.319267256574813,1.2
Burlington,13.846188961160655,1.3
Middlesex,13.758489560235256,1
Sussex,13.360865720497753,2
Gloucester,13.031740090984842,1.1
Bergen,12.645088536662133,1
Monmouth,11.778122550148078,0.6999999999999998
Somerset,11.704947258697283,1.3
Morris,10.978662351785099,1.2
Hunterdon,9.668649534247253,1
