county,pov,moe
Sierra,29.776740421493397,17.299999999999997
Quay,27.508262651087918,15.7
Hidalgo,24.3181041570334,13.999999999999998
Catron,22.51960975790896,20
Colfax,22.14090150192439,11.000000000000002
Socorro,21.66657324926677,10.1
Grant,19.828561388720843,7.500000000000001
Luna,19.432585818569514,6.999999999999999
Cibola,19.3857434969833,6.7
McKinley,19.049877389376807,4.4
Mora,18.641184423621183,19.7
San Juan,17.298575457209182,3.5999999999999996
San Miguel,16.723156900252086,8.9
Roosevelt,16.106448734660248,9
Harding,14.258151193112893,14.6
Lincoln,13.603710516813736,9.1
Union,13.15832800487369,14.299999999999999
Guadalupe,12.792732116178335,14.800000000000002
Torrance,12.578338530178124,7.9
Rio Arriba,12.192667594165679,5.699999999999999
Chaves,12.097440147673446,4.300000000000001
Doña Ana,11.554176556219666,3.0999999999999996
Curry,10.569956590433316,5.2
Otero,9.498980358101623,4.7
Valencia,8.221686881730879,4.2
De Baca,7.982203804340644,11.9
Taos,7.854415587848693,5.800000000000001
Lea,7.428800841148821,3.8
Bernalillo,7.027149449289902,1.6
Eddy,6.534210118363328,4.1000000000000005
Santa Fe,6.480053231780533,2.6
Sandoval,5.372556649375866,1.7000000000000002
Los Alamos,4.898116480269707,1.9
