county,pov,moe
Forest,25.45480282095669,16.7
Sullivan,21.438884356323832,7.9
Mifflin,20.562251899520277,6.199999999999999
Cameron,20.391292886739844,9
Potter,17.34913764577944,3.9
Jefferson,17.116817709916116,3.4000000000000004
Clearfield,16.93814844494024,3.2
Cambria,16.857511930956022,3
Mercer,16.724148610268145,2.7999999999999994
Fayette,16.70525053614183,2.7999999999999994
McKean,16.650447799344995,4.300000000000001
Philadelphia,16.59985763107742,1.6
Carbon,16.57004575167776,3.9
Erie,16.408481518180988,2.3
Venango,16.363270343656648,3.2999999999999994
Greene,16.351349561129457,4.7
Luzerne,16.258997891819778,2
Lawrence,16.184899914622534,3.2999999999999994
Columbia,16.11818937537293,3.5999999999999996
Lycoming,15.577518785190367,2.9000000000000004
Tioga,15.567050763480031,2.6
Warren,15.530614108922553,3.5999999999999996
Blair,15.457266131153785,2.9000000000000004
Pike,15.435777995884095,4.2
Wyoming,15.419161457752029,3.0999999999999996
Fulton,15.365535589930621,3.9
Northumberland,15.335411876351538,2.9000000000000004
Bradford,15.248636655973405,2.7
Huntingdon,15.183744254518933,3.2
Lehigh,15.130177060410238,1.9
Lackawanna,14.957948364564434,2
Wayne,14.852808947353822,3.4999999999999996
Susquehanna,14.804187190401198,2.9000000000000004
Lebanon,14.654799949952391,2.9000000000000004
Crawford,14.62289749083239,2.3
Schuylkill,14.607865668263026,2.6
Montour,14.369847597215706,5.699999999999999
Monroe,14.339973353694552,3.0999999999999996
Berks,14.248956588286587,1.5
Clinton,14.140649246796999,3.2999999999999994
Juniata,14.064136669083915,4
Clarion,14.039009100799271,2.7
Somerset,13.991348762823655,2.4
Beaver,13.91682210047818,2.1
Dauphin,13.870200774776997,1.7000000000000002
Indiana,13.740425766477715,2.6
Franklin,13.63913679228842,2.6
Armstrong,13.458765051627406,3.2
Union,13.453618917600089,4
Elk,13.25821695089724,3.5999999999999996
Bedford,12.9752702302641,2.4
Snyder,12.504052686723547,2.7
Northampton,12.025771184128947,1.6
Delaware,11.966803761162694,1.3
Allegheny,11.854618922679933,0.8999999999999999
Washington,11.746980277657126,1.7999999999999998
Adams,11.615313520202426,2.3
Westmoreland,11.606182446226846,1.2
Perry,11.123075168895191,2.4
York,10.390439400254376,1
Cumberland,10.222380462440658,1.3999999999999997
Centre,10.070619712354535,2
Lancaster,9.906136884049705,1.2
Butler,9.440090996519645,1.3999999999999997
Chester,8.9484110617688,1.1
Montgomery,8.35346021782909,0.8
Bucks,7.424096474635906,0.8
