county,pov,moe
Mellette,29.97993018368105,13.600000000000001
Bennett,25.24939237956918,17.8
Oglala Lakota,23.31732986775216,8.8
Jackson,23.086981738579247,13.700000000000001
Jones,21.75890517884357,16.9
Faulk,21.16555897103932,15.2
Douglas,20.532622076581205,15.1
Buffalo,20.48211187228132,9.6
Tripp,20.32737996120081,9.1
Todd,20.088415340360015,6.1000000000000005
Ziebach,19.4044281850602,7.400000000000001
Dewey,19.238374878487438,7.3
Fall River,19.109358605506465,11.600000000000001
Corson,18.960886874736843,6.599999999999999
Bon Homme,18.59171488873753,11.000000000000002
Lyman,18.43280858700444,8.3
Roberts,18.13874372114761,8.200000000000001
Charles Mix,17.575848797617706,8
Walworth,17.14773706118727,9.1
Potter,16.911133331021535,10.1
Brule,16.819433095002402,7.7
Miner,16.656177133386304,9.8
Perkins,16.654207590911856,8.3
Day,16.636274644678412,7.1
Davison,16.127520297877908,6.800000000000001
Lake,15.81819014251482,7.1
Haakon,15.455134493757821,8.3
Hutchinson,15.255733683246437,9
Clay,15.134701167904065,6.3
Gregory,14.953752635401447,5.4
Spink,14.635047002941537,5.3
Custer,14.375058065571281,6.999999999999999
Jerauld,14.059285298570718,7.199999999999999
Hanson,14.027720113351169,7.7
Turner,13.77777233211276,5.2
Edmunds,13.597779111380607,7.8
Hamlin,13.48637889494991,6
Pennington,13.46488567038314,2.9000000000000004
Brown,13.43130135804101,4.4
Hughes,13.362747889239357,5.2
Moody,13.035506441331773,4.1000000000000005
Grant,13.0065565700127,6.199999999999999
Hyde,12.644101105988872,6.7
Lawrence,12.081378495521976,4.5
Codington,11.779949170740679,3.2
Beadle,11.298527643840139,4.5
Sully,10.72635963745549,7.7
McCook,10.54858337773575,4.4
Marshall,10.467506309653734,4.8
Yankton,10.371553247665066,4.4
Kingsbury,9.802020727818476,4.1000000000000005
Union,9.715766324264214,3
Lincoln,9.662786089259509,2.7
Minnehaha,9.630670572131223,1.7999999999999998
McPherson,9.616115593553982,4.1000000000000005
Aurora,9.240754357355845,3.8
Brookings,8.903841926901537,3.9
Meade,8.880032480203967,3.4999999999999996
Sanborn,8.61858250026337,4.2
Clark,8.272893740770366,4
Deuel,7.53050687396357,2.7999999999999994
Hand,7.507633897767126,4.300000000000001
Butte,7.381114195610408,3.0999999999999996
Campbell,6.919071281953777,3.7000000000000006
Stanley,6.6671747496799325,4.5
Harding,5.462249566938447,1.9
