county,pov,moe
Pickett,27.563766609380842,19.3
Hancock,25.400821477263168,11.3
Bledsoe,24.481029981420622,11.1
Sequatchie,22.568693960849377,9.5
Lake,22.055136004611008,10.6
Johnson,21.96918682075586,10.5
Unicoi,21.34976796053276,10
DeKalb,21.349509241901202,9.700000000000001
Fentress,20.72989284794874,8.9
Haywood,20.463293342107296,8.3
Cocke,20.280454058825168,8
Morgan,19.988681089429985,7.6
Crockett,19.365811234106346,6.800000000000001
Scott,19.236104918394837,6.4
Henry,19.024871755630112,6.199999999999999
Perry,18.969767159573998,12.3
Lewis,18.847732253086317,11.600000000000001
Weakley,18.841556474876338,6
Carter,18.69006049952879,5.699999999999999
Warren,18.629374259208326,5.699999999999999
Grainger,18.609391309406607,5.699999999999999
Decatur,18.425187076514437,9.3
Jackson,18.22860028293022,8.600000000000001
Hawkins,17.74552068499986,4.300000000000001
Madison,17.741665856772133,4.2
Hardin,17.702251751028673,6.7
Union,17.15272803611648,8.5
Hardeman,17.03808691474478,7.3
Wayne,16.9581062616904,6.5
Lauderdale,16.838753414518138,6.7
Carroll,15.999942343419962,6.4
Chester,15.953854175261007,6.999999999999999
Sullivan,15.942162210890293,3.8
Shelby,15.839268073297813,1.3
Marshall,15.830747878378116,6.599999999999999
Hamblen,15.793466212979418,4.6
Loudon,15.678465238354306,6.999999999999999
Greene,15.60124160813231,5.2
Coffee,15.502584603995873,4.7
Rhea,15.420008369295884,6.199999999999999
White,15.366011054797053,6.599999999999999
Benton,15.34397272962831,6.9
Macon,15.28271162178373,7.500000000000001
Campbell,15.162371844471584,5.3
Hickman,15.138446888017892,7.6
Trousdale,14.945243968271877,11.5
Grundy,14.906753189967311,6.3
Franklin,14.701242554685559,5.2
Cannon,14.621037717578137,7.8
Marion,14.427634911599204,6.5
Monroe,14.401379298234954,5.2
Henderson,14.113739520877841,6.5
Bedford,14.064967756912027,5.3
Clay,14.039138883481128,8
Claiborne,13.997348311901755,5.500000000000001
Overton,13.663840022516188,6.3
Smith,13.293679299884639,5.9
Fayette,12.974490386829412,5.599999999999999
Putnam,12.957108423444957,3.8
Van Buren,12.844201000361657,9.4
Obion,12.754133543100272,4.7
Lawrence,12.46894859855944,4.1000000000000005
McMinn,12.34152097952346,4.9
Humphreys,12.247061874786356,5.599999999999999
Sevier,12.12238987986371,3.5999999999999996
Davidson,12.028890276811444,1.7000000000000002
Anderson,11.657444208464105,4.2
Roane,11.376099916292828,5.3
McNairy,11.35505594366488,4.9
Stewart,11.32316884544873,7.3
Giles,11.067232751938603,4.2
Meigs,11.03293341062321,7.1
Jefferson,10.745009194509208,4.8
Washington,10.736404407125649,3.4999999999999996
Polk,10.73581338334449,5.2
Dyer,10.337486427851951,5.3
Gibson,10.297228133945268,4
Bradley,10.029822459872072,3.2999999999999994
Hamilton,9.776054673819948,2
Tipton,9.70354267327758,4.1000000000000005
Houston,9.328798310253092,6.800000000000001
Lincoln,9.066875982741346,4.6
Montgomery,8.995865815659116,2.3
Cumberland,8.432529535432137,3.0999999999999996
Dickson,8.251934601232405,4.1000000000000005
Robertson,8.09439298944506,3
Knox,7.932619670468924,1.5
Sumner,7.6757700726641165,2.3
Maury,7.22020046730254,2.4
Rutherford,6.835211704767436,1.6
Blount,6.723944451905724,2
Cheatham,6.557683584684108,3.4999999999999996
Wilson,6.494625751639186,2
Moore,6.467130790115355,4.8
Williamson,5.233311051463395,0.8
