county,pov,moe
Piute,27.380496163448363,13.8
Garfield,23.476505988071885,10.4
San Juan,19.599590689347586,4.6
Grand,19.5067335598034,7.400000000000001
Carbon,19.086526248103247,6.599999999999999
Sanpete,18.776993675459334,6
Duchesne,17.815452951964144,4.7
Kane,17.238133349846933,7.500000000000001
Emery,17.14088107130401,5.500000000000001
Millard,16.905182270094365,5.599999999999999
Sevier,15.64902592460619,4.2
Rich,14.89720376424514,7.199999999999999
Uintah,14.800560289541195,3.7000000000000006
Iron,14.700703932047594,3.9
Juab,14.598438957164225,4.1000000000000005
Wayne,14.595017738451032,7.3
Cache,14.221441368123733,2.1
Washington,12.240788958442396,2
Weber,11.535680301788599,1.5
Box Elder,11.515253658223001,2.1
Beaver,11.338604290944824,4.5
Salt Lake,10.884156020225861,0.8
Davis,10.793062181969168,1.5
Wasatch,10.165911999788388,2.4
Utah,9.62643660046351,0.658
Tooele,8.929795061810717,1.6
Summit,8.556163207009961,1.9
Morgan,7.748745873291145,1.3999999999999997
Daggett,6.776513904424057,1.7000000000000002
