county,pov,moe
Essex,23.481284001054707,7.7
Bennington,19.17083224619673,5
Windham,19.064149821742532,4.300000000000001
Washington,16.873364381960723,3.2
Caledonia,15.919770792571908,3.4000000000000004
Franklin,14.81246924414413,2.7
Orange,14.2204572344209,2.7
Orleans,13.292089695690121,2.4
Rutland,13.009032563010129,2.7
Windsor,11.941010531756106,3
Chittenden,11.493505806332891,1.7999999999999998
Lamoille,11.187222248918506,3.0999999999999996
Addison,9.483547714979826,2.1
Grand Isle,9.051263717220786,4.300000000000001
