county,pov,moe
Jefferson,21.719114759647884,7.3
Adams,21.32068665428041,7.400000000000001
Wahkiakum,20.198344045246852,11.8
Garfield,20.075910800532576,13.3
Lincoln,19.98088011071625,7.7
Ferry,19.104371594140655,6.3
Okanogan,18.903852674543362,4.9
Asotin,18.261336454961693,4.9
Mason,17.954509170481185,4.6
Grays Harbor,17.841621859795108,4.300000000000001
Grant,17.35963013605622,3.7000000000000006
Klickitat,16.96728050851089,6.9
Skagit,16.963002291080787,3.0999999999999996
Pend Oreille,16.624514418454133,5.4
Yakima,16.574749202953033,2.4
Stevens,16.485576089304743,4.5
Kittitas,15.664193558827066,4.8
Franklin,15.503283637337608,3.2
Pacific,14.914374563152519,4.2
Cowlitz,14.66956429862135,2.7
Clallam,13.844136379145356,3.4000000000000004
Lewis,13.565032044226891,2.9000000000000004
San Juan,13.489405138343063,3.4999999999999996
Benton,12.999122352341264,2
Chelan,12.80597194715168,3.2999999999999994
Whatcom,11.922375127609216,2.2
Spokane,11.699936157115305,1.5
Whitman,11.194943664455009,3.0999999999999996
Thurston,11.142664534656193,1.7999999999999998
Clark,10.605625242545457,1.3
Kitsap,10.509043718212219,1.5
Douglas,10.497916906068875,3.0999999999999996
Walla Walla,10.392452095387112,2.5
Pierce,9.96420166401714,0.8
Skamania,9.833057154975618,4.300000000000001
Columbia,9.509483562484377,5.2
King,8.900393606646052,0.658
Snohomish,8.612697148870762,0.8999999999999999
Island,6.924744727104006,2.2
