county,pov,moe
Calhoun,33.09838945156332,18.1
Clay,25.496507616836656,11.700000000000001
Wirt,25.044913493922184,16.3
McDowell,23.068981661722276,9.9
Summers,22.438100191982308,11.9
Roane,21.578732578092147,10.6
Ritchie,21.27423797399586,10.4
Barbour,20.772024355554553,9.5
Jackson,20.69080915822539,9.5
Mingo,20.47664082941603,8.7
Logan,20.017591274663875,8.200000000000001
Hardy,18.69953012315794,10.2
Wyoming,18.431755679547855,8.8
Hampshire,18.045301202576354,9.9
Lincoln,17.504540225040238,9.2
Pocahontas,17.276703862646134,10
Fayette,16.593834578088654,6.4
Webster,16.2579871013565,9
Mason,16.24577979839654,8.200000000000001
Pendleton,16.116350104824967,9.9
Greenbrier,15.751991792267935,6.5
Taylor,15.504486331809225,8.200000000000001
Monroe,15.432393661538644,11.000000000000002
Raleigh,15.256858002453752,5.3
Lewis,15.120482576032373,7.1
Mercer,14.988955171181919,6.199999999999999
Braxton,14.071316801582586,8.4
Marshall,13.633579320689687,6.5
Upshur,13.313950391541551,6.3
Mineral,13.131196187493602,6.999999999999999
Doddridge,12.886357323180208,12.699999999999998
Marion,12.490048527510478,4.6
Preston,12.42153572640957,6.5
Randolph,12.114756066036602,5.699999999999999
Cabell,11.905136348791515,3.7000000000000006
Nicholas,11.699564252779423,5.699999999999999
Morgan,11.46996801748566,7.199999999999999
Putnam,11.11937472681448,5.800000000000001
Kanawha,11.011672128513043,2.5
Wayne,10.89634904156362,5.800000000000001
Harrison,10.231306661890835,4.2
Hancock,9.900330387004892,5.3
Wood,9.785682849758254,3.2999999999999994
Monongalia,9.316860828375036,4
Wetzel,8.932616986764677,5.9
Tyler,8.925638014241018,7.400000000000001
Tucker,8.912951509252153,5.3
Boone,8.8637724130066875,4.300000000000001
Ohio,8.338541855302148,3.7000000000000006
Brooke,7.605059747025912,5
Grant,7.526292415738306,7.199999999999999
Berkeley,7.123572591346007,2.1
Gilmer,6.909308490501331,7.199999999999999
Jefferson,6.46959057956285,2.3
Pleasants,5.309791012946745,3
