county,pov,moe
Niobrara,37.89796234479558,22.900000000000002
Hot Springs,27.64963738439289,14.100000000000001
Johnson,24.04704004496134,11.1
Albany,20.47664082941603,8.7
Converse,19.792260343768753,8
Carbon,18.74584490993845,6.1000000000000005
Platte,16.92449178993701,11.199999999999998
Big Horn,15.620580600719677,6
Fremont,14.665518306615319,3.2
Sweetwater,13.913543131339075,4.5
Sublette,13.442746111268347,7.3
Park,12.583157618896385,4.4
Weston,12.547064661018656,7.7
Laramie,10.825023547110021,3
Goshen,10.445646777335417,5.1
Natrona,9.85842117885357,2.9000000000000004
Teton,9.779297491356285,5.800000000000001
Campbell,8.6838294520113,3
Lincoln,8.051245475463935,3.4999999999999996
Washakie,7.925371023905041,5.9
Sheridan,7.60896607169102,3.5999999999999996
Uinta,6.699446727155675,4.5
Crook,5.316264178050215,1.3999999999999997
