county,pov,moe
Aleutians East Borough,17.5,6.6
Aleutians West Census Area,11.2,5.5
Anchorage Municipality,11.7,1.8
Bethel Census Area,31.4,3.0
Bristol Bay Borough,7.7,7.0
Chugach,5.7,6.3
Copper River,16.1,8.2
Denali Borough,10.7,13.1
Dillingham Census Area,18.3,3.8
Fairbanks North Star Borough,5.7,1.6
Haines Borough,0.6,1.3
Hoonah-Angoon Census Area,10.3,4.3
Juneau,7.4,2.5
Kenai Peninsula Borough,15.9,3.6
Ketchikan Gateway Borough,9.8,3.6
Kodiak Island Borough,8.3,3.1
Kusilvak Census Area,38.8,5.2
Lake and Peninsula Borough,25.1,10.3
Matanuska-Susitna Borough,12.2,1.7
Nome Census Area,24.5,3.5
North Slope Borough,13.2,6.1
Northwest Arctic Borough,25.4,3.4
Petersburg Borough,6.8,4.1
Prince of Wales-Hyder Census Area,18.9,4.7
Sitka,9.9,4.9
Skagway Municipality,5.3,4.9
Southeast Fairbanks Census Area,17.6,7.0
Wrangell,24.4,9.8
Yakutat,9.5,10.9
Yukon-Koyukuk Census Area,28.9,5.4
