county,pov,moe
Lake and Peninsula Borough,22.984247160469145,10.3
Wrangell,22.593548818375,9.8
Denali Borough,22.441100573478455,13.100000000000001
Southeast Fairbanks Census Area,20.395216748543074,6.999999999999999
Aleutians East Borough,20.063274622539787,6.599999999999999
North Slope Borough,19.557920608996646,6.1000000000000005
Kusilvak Census Area,19.36691699327711,5.2
Bethel Census Area,19.29191699327711,3
Yukon-Koyukuk Census Area,19.224416993277107,5.4
Prince of Wales-Hyder Census Area,18.618859541267415,4.7
Aleutians West Census Area,18.21458077346302,5.500000000000001
Dillingham Census Area,17.913922401952412,3.8
Kenai Peninsula Borough,17.698386311472277,3.5999999999999996
Nome Census Area,17.686472874744705,3.4999999999999996
Northwest Arctic Borough,17.60879806145722,3.4000000000000004
Matanuska-Susitna Borough,16.059738945217163,1.7000000000000002
Anchorage Municipality,15.931145638841206,1.7999999999999998
Hoonah-Angoon Census Area,15.251770404488479,4.300000000000001
Sitka,13.540102113527785,4.9
Ketchikan Gateway Borough,10.500504428741452,3.5999999999999996
Yakutat,9.282446219420116,10.900000000000002
Kodiak Island Borough,6.100283215988076,3.0999999999999996
Bristol Bay Borough,5.105426449672569,6.999999999999999
Juneau,4.385912822751201,2.5
Petersburg Borough,4.141073496606692,4.1000000000000005
Fairbanks North Star Borough,4.035135789164049,1.6
Skagway Municipality,4.0066509943018795,4.9
Haines Borough,4.000230004688853,1.3
