county,pov,moe
Autauga,13.5,3.5
Baldwin,13.0,1.9
Barbour,36.8,5.4
Bibb,35.8,8.1
Blount,17.0,3.0
Bullock,45.6,11.7
Butler,32.3,7.1
Calhoun,23.2,2.9
Chambers,30.4,5.1
Cherokee,17.9,4.9
Chilton,16.4,4.2
Choctaw,30.8,7.2
Clarke,30.7,5.7
Clay,23.5,7.6
Cleburne,19.2,7.6
Coffee,24.9,3.5
Colbert,26.5,5.4
Conecuh,34.2,13.0
Coosa,24.5,10.8
Covington,26.9,4.8
Crenshaw,18.6,6.5
Cullman,16.3,3.1
Dale,29.1,4.6
Dallas,44.5,7.2
DeKalb,30.9,4.4
Elmore,13.3,2.9
Escambia,27.5,5.4
Etowah,23.4,2.9
Fayette,34.8,8.3
Franklin,27.5,7.2
Geneva,29.0,5.7
Greene,46.2,13.4
Hale,36.8,12.5
Henry,22.0,5.2
Houston,26.4,2.2
Jackson,27.2,4.9
Jefferson,22.6,1.7
Lamar,16.9,8.7
Lauderdale,17.6,2.9
Lawrence,22.6,7.0
Lee,16.7,3.2
Limestone,15.8,3.3
Lowndes,40.0,10.1
Macon,32.5,7.5
Madison,13.9,1.7
Marengo,31.9,8.5
Marion,20.6,6.2
Marshall,25.2,3.3
Mobile,25.4,1.7
Monroe,29.2,8.2
Montgomery,29.3,2.7
Morgan,17.5,2.9
Perry,58.4,13.2
Pickens,36.1,8.0
Pike,31.3,5.3
Randolph,24.8,6.1
Russell,31.4,7.1
St. Clair,14.3,3.4
Shelby,7.4,1.5
Sumter,52.5,9.2
Talladega,27.3,4.1
Tallapoosa,26.9,4.9
Tuscaloosa,21.1,2.8
Walker,22.2,4.0
Washington,22.4,6.7
Wilcox,46.3,11.7
Winston,24.4,6.0
