county,pov,moe
Perry,27.82440695865118,13.199999999999998
Wilcox,24.321444141256602,11.700000000000001
Greene,24.113831580133844,13.4
Conecuh,23.56160061277765,13
Hale,23.350746215339864,12.5
Sumter,23.05087509582601,9.2
Bullock,22.929088493250248,11.700000000000001
Lowndes,21.79587219272628,10.1
Marengo,20.538447453910386,8.5
Fayette,20.48578851050977,8.3
Bibb,20.372746501696493,8.1
Pickens,20.325406164047653,8
Macon,19.921805865865057,7.500000000000001
Dallas,19.86197207002911,7.199999999999999
Butler,19.64273698204069,7.1
Russell,19.60979554648068,7.1
Barbour,18.620451288498778,5.4
Pike,18.428894792813004,5.3
Choctaw,17.514466401619032,7.199999999999999
Monroe,17.258470037523292,8.200000000000001
Clarke,16.528535249354988,5.699999999999999
DeKalb,16.408517367769065,4.4
Coosa,16.214238969458155,10.8
Franklin,16.159588101737153,7.199999999999999
Chambers,15.988720877565864,5.1
Geneva,15.640391419164775,5.699999999999999
Escambia,15.298359051504907,5.4
Dale,15.113766012005467,4.6
Jackson,14.481514374979698,4.9
Clay,14.393919206012336,7.6
Colbert,14.350912037737046,5.4
Covington,14.246189814519209,4.8
Tallapoosa,14.157620417992797,4.9
Talladega,14.03296855323391,4.1000000000000005
Randolph,14.016951726068234,6.1000000000000005
Montgomery,13.942409403321996,2.7
Winston,13.62610267568314,6
Lawrence,13.37372211281621,6.999999999999999
Washington,13.016348051225862,6.7
Cleburne,12.527655699111312,7.6
Coffee,12.12862687914912,3.4999999999999996
Marshall,12.100557196430595,3.2999999999999994
Marion,11.935756904314342,6.199999999999999
Crenshaw,11.699788865504717,6.5
Henry,11.652631752168578,5.2
Lamar,11.59031723840993,8.7
Houston,11.371709886318367,2.2
Walker,10.912830513344424,4
Mobile,10.846204502723596,1.7000000000000002
Etowah,10.810318622909966,2.9000000000000004
Calhoun,10.663014060715769,2.9000000000000004
Cherokee,10.457027209381605,4.9
Jefferson,9.733159425951815,1.7000000000000002
Tuscaloosa,9.708919001935183,2.7999999999999994
Lauderdale,8.988333869820767,2.9000000000000004
Morgan,8.821060582417878,2.9000000000000004
Chilton,8.718846979188639,4.2
Blount,8.699003283200188,3
Lee,8.424823895304124,3.2
Cullman,7.969443008486412,3.0999999999999996
Limestone,7.826646401930742,3.2999999999999994
St. Clair,7.61931782288901,3.4000000000000004
Autauga,7.075143385980759,3.4999999999999996
Madison,6.858306444336051,1.7000000000000002
Elmore,6.557969314632503,2.9000000000000004
Baldwin,5.95745326536907,1.9
Shelby,5.32551166092797,1.5
