county,pov,moe
Arkansas,17.0,5.7
Ashley,32.1,8.1
Baxter,19.2,5.4
Benton,11.5,1.7
Boone,14.3,4.5
Bradley,16.9,6.1
Calhoun,11.3,6.3
Carroll,19.1,5.5
Chicot,37.6,9.7
Clark,27.6,7.4
Clay,29.0,7.0
Cleburne,19.5,5.7
Cleveland,21.2,9.9
Columbia,36.2,6.2
Conway,31.4,8.4
Craighead,26.9,3.4
Crawford,28.6,6.0
Crittenden,27.7,4.0
Cross,29.8,6.5
Dallas,23.1,13.9
Desha,41.7,8.6
Drew,28.9,9.4
Faulkner,13.9,2.8
Franklin,24.0,9.7
Fulton,17.1,7.5
Garland,25.4,3.5
Grant,19.2,6.5
Greene,26.8,4.9
Hempstead,34.7,6.3
Hot Spring,31.1,6.9
Howard,26.1,9.0
Independence,25.9,5.4
Izard,27.0,8.9
Jackson,28.1,7.5
Jefferson,28.9,4.7
Johnson,31.6,5.9
Lafayette,30.7,8.6
Lawrence,25.7,6.1
Lee,43.3,10.9
Lincoln,27.4,10.3
Little River,18.9,6.3
Logan,20.0,6.1
Lonoke,16.1,3.0
Madison,28.5,6.8
Marion,19.2,6.3
Miller,25.1,4.6
Mississippi,31.3,4.8
Monroe,35.9,11.0
Montgomery,18.8,7.6
Nevada,51.3,10.9
Newton,16.8,8.8
Ouachita,27.8,8.6
Perry,19.4,8.3
Phillips,45.5,6.0
Pike,16.3,5.9
Poinsett,31.4,5.3
Polk,25.2,6.2
Pope,22.8,3.5
Prairie,9.4,5.7
Pulaski,25.3,2.6
Randolph,29.9,7.0
St. Francis,36.8,7.6
Saline,13.4,2.2
Scott,25.4,8.5
Searcy,40.1,12.8
Sebastian,21.2,2.7
Sevier,28.6,7.2
Sharp,22.4,7.5
Stone,28.4,7.6
Union,23.8,4.5
Van Buren,21.7,7.1
Washington,16.4,2.0
White,19.1,3.3
Woodruff,27.0,8.7
Yell,15.6,4.5
