county,pov,moe
Nevada,25.899030111714914,10.900000000000002
Lee,25.899030111714914,10.900000000000002
Searcy,24.75903623878372,12.8
Monroe,23.261951787500006,11.000000000000002
Chicot,22.367783945303778,9.700000000000001
Desha,21.581588818197382,8.600000000000001
Lafayette,21.27079035025422,8.600000000000001
Conway,21.216031702322468,8.4
Ashley,21.03866482901962,8.1
Phillips,20.999466116540322,6
St. Francis,20.751092602936712,7.6
Randolph,20.085409922792884,6.999999999999999
Hot Spring,20.04976772211034,6.9
Hempstead,19.714242698780296,6.3
Columbia,19.674158410351193,6.199999999999999
Johnson,19.382232944528337,5.9
Poinsett,18.907537550711865,5.3
Mississippi,18.525856867059176,4.8
Drew,18.24421158295884,9.4
Cross,17.41713257142125,6.5
Clay,17.331282552469123,6.999999999999999
Lincoln,17.092864655561886,10.3
Ouachita,16.73291131668757,8.600000000000001
Sevier,16.64916597632545,7.199999999999999
Stone,16.53769807930423,7.6
Dallas,16.34172359854432,13.899999999999999
Jackson,16.338322523626253,7.500000000000001
Izard,16.313428287195993,8.9
Madison,16.2822350133895,6.800000000000001
Crawford,16.189252289079736,6
Woodruff,16.079724981871944,8.7
Clark,15.85409424004595,7.400000000000001
Howard,15.803812156341888,9
Jefferson,15.625785873906167,4.7
Scott,14.997054625096181,8.5
Franklin,14.9620038340217,9.700000000000001
Cleveland,14.08761333180077,9.9
Lawrence,13.969207803448738,6.1000000000000005
Crittenden,13.80626055667887,4
Independence,13.648830931428918,5.4
Greene,13.582245985672758,4.9
Polk,13.440703747994462,6.199999999999999
Sharp,13.274212475733183,7.500000000000001
Van Buren,12.893549397426026,7.1
Perry,12.664652063653653,8.3
Craighead,12.42645489110509,3.4000000000000004
Miller,12.135987862588351,4.6
Logan,11.80119629049262,6.1000000000000005
Garland,11.771457281390555,3.4999999999999996
Union,11.75442281345244,4.5
Cleburne,11.375299044963871,5.699999999999999
Grant,11.349955341904295,6.5
Marion,11.05072367152588,6.3
Montgomery,10.955686020354232,7.6
Baxter,10.840024500197783,5.4
Pulaski,10.715739507260425,2.6
Fulton,10.691122554130498,7.500000000000001
Pope,10.650225672224797,3.4999999999999996
Newton,10.54301631068371,8.8
Little River,10.482732862232552,6.3
Carroll,10.382838821871902,5.500000000000001
Sebastian,9.56766492023553,2.7
Bradley,9.549886890210207,6.1000000000000005
Arkansas,9.548160247383796,5.699999999999999
White,8.8698064318808445,3.2999999999999994
Pike,8.762704109359943,5.9
Yell,7.666590390339925,4.5
Boone,7.422085388028949,4.5
Washington,7.335774760193842,2
Lonoke,7.31700223720459,3
Faulkner,6.645998668855352,2.7999999999999994
Calhoun,6.510922719685914,6.3
Saline,6.274674989739465,2.2
Benton,5.928974489213368,1.7000000000000002
Prairie,5.629217128981788,5.699999999999999
