county,pov,moe
Apache,21.389011123031235,3.2
La Paz,21.343265943894068,8.200000000000001
Navajo,20.264011123031235,2.7
Santa Cruz,19.322519283325818,5.599999999999999
Gila,19.251511123031236,5.3
Mohave,17.50784124032384,3.2999999999999994
Graham,17.445870107609373,4.4
Yuma,16.975053109654965,2.7
Cochise,16.924869171703392,2.9000000000000004
Pima,13.893371476673453,1.3
Yavapai,12.028930732340735,2.9000000000000004
Maricopa,7.629273769265277,0.658
Pinal,5.259695773824956,1.5
Coconino,4.248613868811036,2.5
Greenlee,4.016162153479254,8.3
