county,pov,moe
Apache,24.246782849978533,3.2
Navajo,22.801973029669387,2.7
La Paz,19.209435359087255,8.2
Gila,19.1308476428307,5.3
Santa Cruz,18.14934090842535,5.599999999999999
Mohave,16.662740142635634,3.3000000000000003
Yuma,16.219557337031006,2.7
Graham,16.04856268925462,4.4
Cochise,15.712577198938508,2.9000000000000004
Yavapai,15.287358895082939,2.9000000000000004
Pima,15.272826670578658,1.3
Coconino,15.069669654794495,2.5
Pinal,15.051609705400388,1.5
Maricopa,15.023133979242903,0.6
Greenlee,15.00126474254695,8.3
