county,pov,moe
Sierra,28.683347660708268,18.1
Trinity,26.192084387585318,12.3
Modoc,25.160717553602076,13.3
Mariposa,24.918392820746167,9.6
Alpine,19.970496921918436,10
Glenn,19.374950067830973,6
Mono,19.034807638535877,7.6
Siskiyou,18.441033275008962,4.9
Madera,18.402270303019538,3.7000000000000006
Tehama,18.383725175090696,4.6
Mendocino,17.70832543923738,4
Lake,17.654363850416463,3.8
Del Norte,17.623687507235438,5.3
Imperial,17.386655214327405,3.0999999999999996
Kings,17.338993168683025,3.2
Calaveras,17.235780005007058,5.2
Yuba,17.21782403342587,3.4999999999999996
Plumas,16.857753956107693,5.9
Merced,16.792596708423464,2.4
Sutter,16.660810953748072,3.4000000000000004
Humboldt,16.601813879136117,2.6
Colusa,16.52787682351369,4.4
Lassen,16.33254555579331,4.7
Tulare,16.153148501914234,1.6
Butte,16.127007033867397,2.3
Fresno,16.049792085828074,1.3999999999999997
Kern,16.034699957119493,1.3999999999999997
Monterey,15.750047026350527,2
Stanislaus,15.533813283315123,1.3999999999999997
San Bernardino,15.148990079852167,0.8
San Joaquin,14.85660180596897,1
Los Angeles,14.855984908186565,0.658
Sacramento,14.829188714526056,1.1
Santa Barbara,13.861782645564565,1.3999999999999997
Yolo,13.80723296723105,2.5
Inyo,13.743612896763294,6
Shasta,13.721102428360382,1.9
Riverside,13.237753327462848,0.6999999999999998
San Luis Obispo,12.651971946071372,2
San Diego,12.52881945326525,0.658
Ventura,12.443598639444192,1
Solano,12.031175798038118,1.3999999999999997
Tuolumne,11.762005179782092,3.4999999999999996
San Benito,11.252467219297625,3.4000000000000004
Orange,11.004285297299353,0.658
Santa Cruz,10.286872545929155,2
Nevada,10.02635567070294,2.7
Sonoma,9.150689704611056,1.3999999999999997
Contra Costa,8.533858323969659,0.8999999999999999
El Dorado,8.256954015008423,1.9
Alameda,7.504634400032864,0.6999999999999998
Napa,7.202982708820141,2
San Francisco,6.542900944274453,1
Marin,6.070816604320358,1.3
Placer,5.562325979038926,1.1
San Mateo,5.084599205261667,0.8999999999999999
Santa Clara,4.640785603786803,0.658
Amador,4.250290199633397,2.4
