county,pov,moe
San Juan,42.62825499769567,31.6
Jackson,41.12825499769567,24.3
Huerfano,39.77825499769567,15.8
Gilpin,28.066217910203896,18.5
Bent,25.477105110886388,13.5
Costilla,25.008292991731718,12.9
Saguache,24.21589689112674,11.9
Sedgwick,24.05240025259442,11.700000000000001
Rio Blanco,22.167120211583274,9.4
Las Animas,22.12459784721403,9.2
Yuma,22.09719477378286,9.2
Baca,22.04888347673597,9.1
Prowers,20.979227224219915,7.8
Alamosa,20.458687938920594,7.6
Otero,20.257586070233728,6.800000000000001
Logan,20.043361254250293,7.400000000000001
Delta,19.78582557691232,6.199999999999999
Crowley,19.713524194427002,6.5
Conejos,19.63901679207666,6.1000000000000005
Phillips,19.633108652375434,8.8
Kiowa,19.268397109837906,7.7
Moffat,18.73362004996725,6.5
Cheyenne,18.65732914980417,8.9
Morgan,18.55756767703378,4.9
Fremont,18.431138099681764,4.5
Montrose,18.303894629702846,4.9
Dolores,18.253867500544505,12.200000000000001
La Plata,17.49277856070659,3.4000000000000004
Pueblo,17.291026875505587,3
Mesa,16.58386064470398,3.2
Montezuma,16.11983543815687,5.800000000000001
Denver,15.991296275399622,1.5
Adams,14.249678869915078,1.3999999999999997
Rio Grande,13.244079962732979,8
Weld,12.942631223402994,1.3999999999999997
Kit Carson,12.677145657458503,4.7
El Paso,11.743141473171114,1.3
Washington,11.177873626915142,5.1
Chaffee,9.443185711925317,4.9
Park,9.254933291589762,7.3
Arapahoe,8.941565099725105,0.8999999999999999
Eagle,7.900361983650585,4.7
Garfield,6.9739296149135805,3.0999999999999996
Larimer,6.289278677001121,2
Lincoln,6.286586139082939,5.699999999999999
Mineral,5.818288366764393,10.7
Archuleta,5.768140272544835,5
Gunnison,5.260950628987533,7.9
Lake,4.960135142505866,7.6
Jefferson,4.51202940360111,1.1
Pitkin,4.506316314767513,5.9
Boulder,4.284485887435073,1.1
San Miguel,4.2586697397095925,4.9
Grand,4.188321708086913,5.3
Summit,4.127852087933006,4.8
Teller,4.082102943769858,3.8
Broomfield,4.048114744114957,1.9
Routt,4.031947524836365,2.7999999999999994
Custer,4.02158620324663,5.1
Clear Creek,4.011767288342004,4.9
Elbert,4.004907735838536,2
Douglas,4.001843577575329,0.658
Ouray,4.0005788081899665,2.1
Hinsdale,4.000146116858962,30.099999999999998
