county,pov,moe
Franklin,25.99472770466801,14.100000000000001
Lafayette,23.40185112003618,13.5
Glades,23.39009054744747,11.8
Hardee,22.177340062620257,9.2
DeSoto,21.902806178613904,9.1
Taylor,21.847151394284197,11.5
Hamilton,21.55899613175538,9.1
Dixie,21.448356530974365,10.4
Washington,21.23285334601874,9.2
Madison,21.156199795394087,8.7
Sumter,20.388865089332135,7.3
Calhoun,20.37368705987855,8.600000000000001
Liberty,20.047794479505182,8.3
Union,20.01319584434203,10.1
Gadsden,19.840163955244087,6.199999999999999
Jefferson,19.77391121055405,7.500000000000001
Bradford,19.324386984436032,7.6
Putnam,19.2935826379941,6
Jackson,19.20502862951556,6.599999999999999
Okeechobee,19.16382053524388,6.3
Hendry,19.08859343386788,6.7
Holmes,18.72158107551304,8.4
Levy,17.716205581503548,5.800000000000001
Highlands,16.270767390724743,4.2
Citrus,16.212077938396654,3.8
Baker,16.192856199889572,6.199999999999999
Suwannee,15.917628792999006,4.8
Escambia,15.139612965842725,2.4
Columbia,14.975657698132084,4
St. Lucie,14.3620767718112,2.6
Marion,14.268523671261393,1.9
Polk,14.253736854113717,1.3999999999999997
Walton,13.846210752618578,4.4
Duval,13.825592690530156,1.3999999999999997
Martin,13.81128149216872,4
Charlotte,13.759653044969507,3.2999999999999994
Leon,13.56512276122079,2.2
Miami-Dade,13.149899935160663,0.8999999999999999
Osceola,13.147719726642414,2
Orange,12.751872226001035,1.1
Indian River,12.420486477174942,2.9000000000000004
Bay,12.349386233458674,2.4
Hillsborough,12.251204554066913,1
Alachua,12.15988577768624,2.7999999999999994
Lee,12.03974117296667,1.5
Gulf,11.895310350277907,6.9
Hernando,11.488541675240562,2.7999999999999994
Pasco,11.330659687381713,1.6
Collier,11.008716459975233,2.3
Broward,10.820746073442375,1
Volusia,10.237748747203199,1.7000000000000002
Palm Beach,10.20787103584745,1.1
Manatee,10.196753763373808,2.2
Okaloosa,9.79090544019491,2.6
Lake,9.44134538466623,2.5
Flagler,9.340084341164621,3.0999999999999996
Monroe,9.165161266307424,3.5999999999999996
Clay,8.224172436018716,3.0999999999999996
Gilchrist,7.986451259023082,5.4
Pinellas,7.979877341250598,1.2
Brevard,7.483336541817503,2
Nassau,7.055968120570519,3.8
Sarasota,6.119849127121103,2
Seminole,5.425686040478082,1.2
Santa Rosa,4.985541898725366,2.1
St. Johns,4.200422289874366,1.6
Wakulla,3.3826662634660583,3.5999999999999996
