county,pov,moe
Webster,34.06588256321029,25.1
Hancock,32.85044428630478,22.900000000000002
Clay,30.082931609212295,23.6
Treutlen,29.033056644257027,18
Quitman,29.007844056778705,23.5
Clinch,26.58286902727921,15.9
Telfair,24.202892689012938,11.8
Lanier,24.18523075586679,12.5
Warren,23.81921659557136,13.600000000000001
Calhoun,23.30970855673184,13
Pulaski,23.149418501491407,13.100000000000001
Randolph,22.81288152038783,13.3
Brooks,22.584683423731715,12.200000000000001
McIntosh,22.498541237985464,12.399999999999999
Early,22.230396203979538,11.199999999999998
Appling,21.98693573147273,10.2
Terrell,21.97055729244502,9.2
Taylor,21.933891064992046,10.6
Screven,21.869235994991538,10.8
Crisp,21.67883253375271,9.6
Dooly,21.59469654522594,9.2
Atkinson,21.297074907491233,8.600000000000001
Wilkinson,21.08508197963058,10.5
Miller,20.924751328686764,10.8
Mitchell,20.921855337241603,8.5
Charlton,20.725260457417384,9.5
Stewart,20.63820166605218,18.1
Ben Hill,20.56259727076878,8.200000000000001
Jeff Davis,20.559527337295872,10.6
Irwin,20.502922952536238,11.1
Lincoln,20.311908432866183,9.5
Wilcox,19.891942154817986,9.2
Decatur,19.788709443430218,7.500000000000001
Wheeler,19.118458070030908,14.800000000000002
Talbot,19.081286095508414,11.5
Johnson,18.986706370548408,12
Candler,18.937861527461163,10.1
Grady,18.787892720188726,7.8
Madison,18.666673438597247,8.8
Wilkes,18.490797502452814,11.000000000000002
Ware,18.478196296451173,5.800000000000001
Colquitt,18.436200406702415,5.9
Tift,18.24273028527297,7.400000000000001
Sumter,18.22978065631176,7.8
Bacon,18.201291951924283,9.2
Franklin,18.008120942984686,9.3
Upson,18.00267969691741,7.9
Macon,17.95920239693275,7.500000000000001
Butts,17.953137722525792,7.6
Meriwether,17.903891701164646,6.800000000000001
Elbert,17.898831538576797,6.599999999999999
Dougherty,17.705934080608802,4.6
Jefferson,17.65849492243555,7.6
Bibb,17.538160439597227,4.300000000000001
Worth,17.408468884149414,7.1
Peach,17.390419947839842,7.3
Jenkins,17.357086372788487,14.7
Glascock,17.191659085451263,17.6
Laurens,17.189697801066483,4.8
Berrien,17.123598867917288,6.999999999999999
Putnam,16.780319899042357,8.9
McDuffie,16.754992603321455,7.400000000000001
Emanuel,16.612862058678704,7.3
Toombs,16.604826866620307,6.9
Evans,16.496770270497198,8.1
Spalding,16.285003190555138,5.800000000000001
Turner,16.011436100804023,10.3
Coffee,15.905988066696002,6.4
Baker,15.899576235880472,13.4
Cook,15.881263122187292,7.500000000000001
Chattooga,15.763519324302758,5.2
Greene,15.7232496527981,7.7
Burke,15.512516509949673,8
Glynn,15.49694009559516,5
Richmond,15.357368314675531,3.2999999999999994
Towns,15.33217277708524,8.4
Wayne,14.93462942656204,6
Thomas,14.925941085421757,4.9
Dodge,14.890609138825974,6.7
White,14.478941898099368,8.600000000000001
Troup,14.342383509030274,5.4
Tattnall,14.094942325978007,7.400000000000001
Lowndes,13.931923805405788,3.5999999999999996
Pierce,13.868605594954154,6
Union,13.743025860458433,9
Gilmer,13.561987450066967,8.1
Bleckley,13.430690442834543,5.699999999999999
Baldwin,13.392050549918904,6.199999999999999
Washington,13.32389238322658,6.9
Muscogee,13.26212426846044,2.7
Floyd,13.260437524302418,3.2
Bulloch,13.215448637660199,5.1
Camden,13.200877539534467,3.4999999999999996
Brantley,13.16669834492608,9.700000000000001
Clarke,13.11623259778406,4.4
Echols,13.098386030263228,11.600000000000001
Polk,12.980246289401967,5
Montgomery,12.94159010662614,7.500000000000001
Clayton,12.452452446858313,2.7
Pickens,12.359336865379786,5.1
Rabun,12.321646439366399,8
Heard,12.197479740176824,6.599999999999999
Carroll,12.023945250325339,4.6
Taliaferro,11.309851008302978,14.900000000000002
Jones,11.296449908820863,6.4
Seminole,11.271137713688471,8.7
Hall,11.195699434994346,2.3
Whitfield,11.110326754037432,4.6
Fannin,11.076872934542942,7.8
Crawford,11.056499044319937,6.1000000000000005
Walton,10.98714639839739,3.4000000000000004
Twiggs,10.951548883864023,8.600000000000001
Monroe,10.693236921524116,6.1000000000000005
Liberty,10.651338796318731,3.2999999999999994
Oglethorpe,10.445081221513245,6.800000000000001
Murray,10.23383367866602,4.6
Chattahoochee,10.044233398079767,7.199999999999999
Haralson,10.040135607688935,6.4
Walker,9.778317280464119,4
Chatham,9.6581679796147,2.1
DeKalb,9.547420622761782,1.6
Gordon,9.221256887470547,4.4
Banks,9.173580197088206,5.800000000000001
Dawson,9.133792719474426,9.2
Long,8.944408984299933,7.400000000000001
Jasper,8.696022645573576,8.200000000000001
Rockdale,8.688768395019885,3.9
Marion,8.558796458507782,8.3
Stephens,8.508885029742107,6.4
Habersham,8.473487017986551,4
Newton,8.316882953485504,3.9
Douglas,8.160193113645787,3.8
Fulton,7.947995882576482,1.3
Lamar,7.645817965771465,7.3
Lumpkin,7.54663713667146,5
Catoosa,7.228685652845536,4.9
Lee,6.566508807724427,5.4
Gwinnett,6.4521485186010255,1.2
Bartow,6.379472222479017,2.5
Henry,6.2434803298211925,2.5
Morgan,6.197872819951702,5.2
Houston,5.9982605308959585,2
Schley,5.8875090520024,6.4
Barrow,5.823330883681073,2.5
Hart,5.808607412454602,4
Coweta,5.3996903008812795,2.6
Columbia,5.153750097569759,3
Harris,4.937439053791458,3.8
Pike,4.812109448110342,4.2
Cobb,4.6703415607137835,0.8999999999999999
Jackson,4.434785072335465,2.7
Bryan,4.31210406119868,3.2
Cherokee,3.9587469561060713,1.7000000000000002
Paulding,3.8007197725323016,2
Effingham,3.590993756379062,1.9
Fayette,3.3537698606922213,1.6
Oconee,3.2067810406448647,3
Forsyth,2.8322150383122677,1.2
Dade,2.544284309511946,3.5999999999999996
