county,pov,moe
Clarke,27.382422040242304,12.3
Osceola,26.032422040242302,10.2
Crawford,24.6824220402423,7.9
Audubon,19.28506307170874,9.4
Franklin,18.940801633964387,7.9
Lucas,18.75411824143699,7.8
Cherokee,18.70668025875091,8.3
Montgomery,18.49403088821136,7.8
Appanoose,18.429037797889112,7.6
Emmet,18.28037902296082,7.6
Cass,18.13424512125837,6.599999999999999
Humboldt,18.04374614301001,7.7
Palo Alto,18.004853594887404,8.1
Wayne,17.573597060242935,7.1
Davis,17.498498392121284,9
Wapello,17.39165145025615,5.3
Decatur,17.2086073966789,6.999999999999999
Jefferson,16.719414406886788,7.7
Ringgold,16.669599519957035,7.199999999999999
Wright,16.620221106117015,5.500000000000001
Page,16.33039859716547,5.9
Tama,16.216624250712034,4.4
Clay,16.164441668164926,5.2
Monroe,16.039932756359786,7.3
Monona,16.01012238182222,5.800000000000001
Butler,15.833989113605773,5.1
Des Moines,15.832916770046781,4.300000000000001
O'Brien,15.71934500212164,5.800000000000001
Lee,15.659206038430643,4.4
Floyd,15.607265106081314,5.500000000000001
Van Buren,15.486491774031535,5.9
Clayton,15.427125034083556,5.1
Jones,15.37844982022991,5.4
Henry,15.24171727624973,4.4
Greene,15.190585509491298,5.500000000000001
Union,15.167897429883526,5.2
Muscatine,15.147261920404798,4.2
Clinton,14.928652466848003,3.7000000000000006
Guthrie,14.914469049626792,4.2
Webster,14.868948742514142,3.9
Allamakee,14.864676635315991,4.300000000000001
Marshall,14.744718388156139,4
Iowa,14.589588404856924,5.1
Kossuth,14.580964185531148,4.1000000000000005
Adair,14.485569793299934,5.4
Woodbury,14.474186235087478,2.7999999999999994
Black Hawk,14.434640969150767,2.7999999999999994
Louisa,14.37322650812945,4.4
Mahaska,14.351959213968598,4.300000000000001
Winneshiek,14.342452211192025,5
Pottawattamie,14.298957664755122,3.0999999999999996
Sac,14.265027857270985,4.5
Jackson,14.227142968663273,4.300000000000001
Keokuk,14.204125231749396,4
Worth,14.153217041779653,5.1
Howard,14.105698370573522,5.2
Fayette,14.02007023820776,3.9
Hardin,13.631525268317251,3.9
Hancock,13.586974499574305,4.5
Cerro Gordo,13.583215837521958,3.5999999999999996
Ida,13.569431445500685,4.2
Scott,13.467195443360938,1.9
Cedar,13.311973750438803,3.5999999999999996
Hamilton,13.01003848005022,3.5999999999999996
Madison,12.999342481211448,4.2
Buchanan,12.880895306616761,3.2
Dubuque,12.821042010786188,2.7
Johnson,12.810995045302654,2.4
Pocahontas,12.809997292017508,4.1000000000000005
Washington,12.781055692552165,3.7000000000000006
Polk,12.772732510430945,1.3999999999999997
Calhoun,12.729163270481317,3.4000000000000004
Harrison,12.670820036200434,3.2
Jasper,12.55224593680592,2.9000000000000004
Linn,12.402554202564907,1.6
Marion,12.319949729307792,3.0999999999999996
Winnebago,12.21184289634769,3.4000000000000004
Story,12.160499836582224,2.5
Grundy,12.079156530231854,2.9000000000000004
Fremont,12.045734022165263,3.7000000000000006
Poweshiek,12.02770944129632,3.4999999999999996
Boone,11.95634533224859,2.7999999999999994
Bremer,11.866660706252723,2.9000000000000004
Mills,11.69247493731063,3.2
Benton,11.254953045733444,1.9
Dickinson,11.185425535673954,2.7999999999999994
Taylor,11.171296529914612,3
Warren,11.029508427854667,2.1
Plymouth,10.959407810190465,3.0999999999999996
Buena Vista,10.934079154781779,2.1
Sioux,10.850191978077103,2.6
Adams,10.757746731096416,4.300000000000001
Shelby,10.453426033482247,2.7
Dallas,10.189846283676102,1.7999999999999998
Carroll,9.991727867343398,2.1
Delaware,9.652591041133519,2.4
Chickasaw,9.277638869788293,2.3
Mitchell,8.842617569498417,2.4
Lyon,7.664097327653657,1.6
