county,pov,moe
Custer,26.118236524696798,14.800000000000002
Butte,26.03601009393039,13.8
Lewis,25.898510093930394,4.9
Boundary,25.774760093930393,10.900000000000002
Boise,23.387247863136032,10.900000000000002
Lincoln,23.366436246016356,10.8
Valley,22.575146776244928,12
Washington,21.347943182495293,8.200000000000001
Gooding,20.548808447799015,7.199999999999999
Benewah,20.29048698346146,6.999999999999999
Jerome,20.023853861350453,6.5
Minidoka,20.02105430667308,6.5
Owyhee,19.866964666852933,6.3
Shoshone,19.62343550819489,6
Gem,19.369572257245114,5.699999999999999
Fremont,18.614419189761296,5.3
Nez Perce,18.540472506372495,4.8
Adams,18.477403062445955,9.1
Twin Falls,18.240163978547276,4.300000000000001
Madison,18.068637204179183,4.4
Oneida,17.9736702481958,6.999999999999999
Clearwater,17.901288605458227,6
Bonner,17.394073118596282,3.9
Bannock,16.514877841504365,3
Bear Lake,15.382923125379799,5.4
Elmore,13.614800051850024,3.9
Power,13.173463110826,9
Cassia,12.712725309309093,4.300000000000001
Bingham,9.906985544724057,3.0999999999999996
Canyon,8.444590573024131,1.7000000000000002
Bonneville,7.584680531487961,2.4
Payette,7.032733275214703,5.3
Kootenai,5.951492368185337,2.3
Blaine,5.582099676471408,6.199999999999999
Latah,4.998665267483155,4
Jefferson,4.639728365792699,3.2
Teton,4.454760857256673,6.800000000000001
Lemhi,4.262580197633988,5.1
Franklin,4.150678025256774,5.1
Ada,4.07016928677042,1.2
Camas,4.043681181752224,10.5
Idaho,4.014736863682784,4.4
Clark,4.004673962226451,9.6
Caribou,4.000359764654069,3.9
