county,pov,moe
Adams,16.1,4.0
Alexander,23.8,10.3
Bond,24.3,6.5
Boone,14.3,4.0
Brown,9.4,5.4
Bureau,17.5,3.5
Calhoun,11.7,5.5
Carroll,17.4,6.1
Cass,12.1,5.0
Champaign,14.8,2.6
Christian,14.0,4.8
Clark,8.6,3.6
Clay,20.4,6.6
Clinton,8.4,2.4
Coles,24.2,5.1
Cook,18.3,0.6
Crawford,8.7,3.3
Cumberland,10.4,4.1
DeKalb,18.9,3.8
De Witt,16.0,6.0
Douglas,11.0,4.0
DuPage,7.4,0.7
Edgar,18.4,6.1
Edwards,15.2,6.1
Effingham,15.9,4.9
Fayette,19.8,6.1
Ford,15.9,4.1
Franklin,24.4,4.6
Fulton,19.6,4.4
Gallatin,24.3,7.2
Greene,19.0,5.1
Grundy,8.4,2.7
Hamilton,18.3,7.9
Hancock,19.4,5.8
Hardin,15.4,8.7
Henderson,14.5,6.5
Henry,12.0,3.2
Iroquois,11.4,2.8
Jackson,27.0,4.8
Jasper,11.7,7.2
Jefferson,20.6,3.5
Jersey,8.8,5.2
Jo Daviess,9.2,2.8
Johnson,30.9,10.7
Kane,12.1,1.1
Kankakee,19.3,2.3
Kendall,6.0,2.2
Knox,18.8,3.6
Lake,10.9,1.1
LaSalle,21.9,3.1
Lawrence,19.9,7.2
Lee,14.8,5.3
Livingston,13.5,3.3
Logan,14.9,4.3
McDonough,19.0,4.8
McHenry,8.5,1.8
McLean,10.7,1.6
Macon,20.4,3.2
Macoupin,19.4,4.1
Madison,15.1,1.5
Marion,24.2,4.2
Marshall,17.3,4.4
Mason,18.0,6.8
Massac,17.1,6.6
Menard,10.4,4.4
Mercer,10.1,3.6
Monroe,5.3,2.3
Montgomery,17.5,6.7
Morgan,18.7,3.8
Moultrie,12.1,4.7
Ogle,11.6,3.5
Peoria,21.4,2.8
Perry,28.7,8.0
Piatt,7.7,4.4
Pike,15.0,4.2
Pope,29.2,11.7
Pulaski,33.8,9.1
Putnam,11.6,4.5
Randolph,15.2,4.2
Richland,15.1,4.9
Rock Island,23.6,2.6
St. Clair,20.5,2.3
Saline,21.3,4.8
Sangamon,18.5,2.4
Schuyler,13.3,8.8
Scott,20.8,9.2
Shelby,11.0,3.9
Stark,17.2,8.6
Stephenson,18.5,4.7
Tazewell,11.0,2.2
Union,28.5,7.8
Vermilion,25.7,3.9
Wabash,17.3,6.2
Warren,26.3,9.7
Washington,10.5,5.2
Wayne,20.2,5.8
White,18.2,6.6
Whiteside,18.3,4.5
Will,9.0,0.9
Williamson,17.5,4.0
Winnebago,25.3,2.1
Woodford,7.1,3.2
