county,pov,moe
Pope,26.698958927253624,11.700000000000001
Johnson,25.69904790783024,10.7
Pulaski,24.099190276752818,9.1
Alexander,21.73822213886065,10.3
Warren,21.480621185638228,9.700000000000001
Scott,20.94020490808098,9.2
Perry,20.387297980082685,8
Union,20.238773036225197,7.8
Gallatin,19.747476546986043,7.199999999999999
Bond,19.297199000869302,6.5
Clay,19.22810304932874,6.599999999999999
Coles,18.353970661098057,5.1
Jackson,18.21536925928754,4.8
Saline,18.107369511230605,4.8
Franklin,18.049104210965712,4.6
Lawrence,17.859089598604523,7.199999999999999
Marion,17.75484796460252,4.2
Vermilion,17.598755489963217,3.9
Wayne,17.282186048026105,5.800000000000001
Jefferson,17.25394835803823,3.4999999999999996
Hamilton,17.241320901714786,7.9
Fayette,17.237627737399183,6.1000000000000005
LaSalle,17.01739389598534,3.0999999999999996
Stark,16.97480925732819,8.600000000000001
Hancock,16.932811783212134,5.800000000000001
Peoria,16.817390100427236,2.7999999999999994
Rock Island,16.69645238542159,2.6
Hardin,16.624028185036938,8.7
Mason,16.514118551840333,6.800000000000001
St. Clair,16.477292303789284,2.3
White,16.470587673759486,6.599999999999999
Edgar,16.448789311696288,6.1000000000000005
Winnebago,16.395650339073917,2.1
Greene,16.351601145182464,5.1
Montgomery,16.33946879447751,6.7
Fulton,16.265557909334095,4.4
McDonough,16.113250303918605,4.8
Macon,16.110734305604275,3.2
Macoupin,15.923653046312852,4.1000000000000005
Massac,15.901397559609642,6.599999999999999
Carroll,15.88770195215265,6.1000000000000005
Wabash,15.813160487848915,6.199999999999999
Stephenson,15.713237338112235,4.7
Schuyler,15.633043298264257,8.8
De Witt,15.426188533377546,6
DeKalb,15.414483205661952,3.8
Whiteside,15.311044947314661,4.5
Morgan,15.260573271088534,3.8
Edwards,15.19518133196898,6.1000000000000005
Knox,15.193724837803893,3.5999999999999996
Henderson,14.788888978715145,6.5
Marshall,14.740152335159356,4.4
Effingham,14.650192438333399,4.9
Williamson,14.585060382905683,4
Kankakee,14.45548704086335,2.3
Bureau,14.324587600020584,3.4999999999999996
Jasper,14.210390989255044,7.199999999999999
Richland,14.170396107727148,4.9
Adams,14.11732456922053,4
Lee,14.112504844536428,5.3
Ford,13.957446720886303,4.1000000000000005
Sangamon,13.93659530754996,2.4
Randolph,13.790420604712569,4.2
Pike,13.529924889304151,4.2
Logan,13.525349247234491,4.300000000000001
Christian,13.46662196516433,4.8
Cass,13.324111704269892,5
Calhoun,13.265420491450849,5.500000000000001
Boone,12.892039892522526,4
Moultrie,12.880834039857492,4.7
Putnam,12.151522471753958,4.5
Livingston,12.04069308155971,3.2999999999999994
Cook,11.973522777143144,0.658
Champaign,11.813828716054827,2.6
Washington,11.756299389829948,5.2
Douglas,11.489170062414612,4
Henry,11.452635562268847,3.2
Ogle,11.4042835854812,3.4999999999999996
Shelby,11.281345568748154,3.9
Brown,11.23799508496458,5.4
Madison,11.179815964105138,1.5
Menard,10.850016732198132,4.4
Cumberland,10.7708499823447,4.1000000000000005
Iroquois,10.60101975074977,2.7999999999999994
Jersey,10.521292162522961,5.2
Kane,10.12168280443133,1.1
Mercer,10.102104784312852,3.5999999999999996
Tazewell,9.877947459510967,2.2
McLean,9.360086769298515,1.6
Jo Daviess,9.290433305864717,2.7999999999999994
Lake,9.249755608205914,1.1
Crawford,9.101478989302588,3.2999999999999994
Clark,9.085931882774952,3.5999999999999996
Piatt,8.520871817011695,4.4
Will,8.36792222552141,0.8999999999999999
Clinton,8.1022895552338845,2.4
McHenry,8.065451141647076,1.7999999999999998
Grundy,8.007846875568344,2.7
Woodford,7.301318762541952,3.2
DuPage,6.995148577596885,0.6999999999999998
Kendall,6.575352483725788,2.2
Monroe,5.894325161179738,2.3
