county,pov,moe
Crawford,49.967198452729576,15.1
Switzerland,23.41757632878709,10.8
Parke,22.585996764339747,9.5
Martin,22.580376155043542,10.6
Orange,19.455298109972503,8.1
Miami,19.32782221553245,5.2
Blackford,19.13369697240569,8.9
Fulton,18.792728474674973,7.000000000000001
Grant,18.492151441430085,3.7000000000000006
Scott,18.385324545016076,6.9
Warren,18.11418997277298,6.6000000000000005
Vermillion,18.06284905980164,6.7
Shelby,18.0252024203517,5.5
Fayette,18.008332595651098,5.9
Sullivan,18.007647785117182,7.7
Greene,18.003950980203943,5.3
Jay,17.949072919733368,6.4
Benton,17.850051424240228,5.9
Owen,17.83108179342998,6
Ohio,17.74666769197082,7.9
LaPorte,17.67624500498876,3.8
Tipton,17.6752402543533,6.4
Newton,17.63319478478319,6.800000000000001
Vigo,17.28641229302406,3.0999999999999996
Jennings,17.131483243812042,4.7
Pike,17.11430785173426,6.5
Jackson,16.930047971909566,5.5
Randolph,16.904287369310484,4.1
Washington,16.89495619060212,5.4
Henry,16.87440148283698,4.2
Dubois,16.806247419100593,5.1
Wayne,16.7570279318174,3.0999999999999996
Delaware,16.717970224428026,3.0999999999999996
Madison,16.629581039275738,3.0999999999999996
Pulaski,16.594641793428718,5.1
Knox,16.565082621625173,4.3
Cass,16.548938108695992,4
Wabash,16.540185329831054,4.6
Montgomery,16.458733733071636,3.8
Adams,16.37890622462467,4.5
Rush,16.348825488876013,5.3
Jefferson,16.330805180066925,3.9
Vanderburgh,16.2855413068016,2.6
Whitley,16.26790621346486,4.6
Marshall,16.20546900146056,4.1
DeKalb,16.176271538741645,3.8
Steuben,16.161581703500122,5.1
Decatur,16.15667445358086,6
Howard,16.154219028169233,3.2
Huntington,16.10676176293006,4.2
Posey,16.050915391299263,5
Lake,16.022786579868374,1.7000000000000002
Tippecanoe,16.00078902679471,2.7999999999999994
Elkhart,15.993445210537448,2.5
Clay,15.989201785523544,4.4
Starke,15.958342394087973,4
St. Joseph,15.951133006055274,2
Monroe,15.938024584369831,3
Brown,15.903093134502813,5.599999999999999
Carroll,15.854523409961269,4.5
Bartholomew,15.817020879747748,2.9000000000000004
Gibson,15.804157522016018,4.3
Floyd,15.780531925052129,2.6
Perry,15.77658460264705,3.5000000000000004
Putnam,15.735707836742288,3.6000000000000005
Daviess,15.724540611673302,3.4000000000000004
Fountain,15.723973111632594,3.7000000000000006
Lawrence,15.704406270777657,3.6000000000000005
Dearborn,15.70323059368291,3.3000000000000003
Clinton,15.694835179145494,3.4000000000000004
Marion,15.683372693889828,1.3
Ripley,15.67341764892059,3.9
Morgan,15.643455813621843,2.9000000000000004
Allen,15.560812340473271,1.5
Franklin,15.558941360273629,3.8
Clark,15.557878249715193,2.3
White,15.481673200330281,3.7000000000000006
Harrison,15.470687461283056,3.2
Kosciusko,15.46960418051844,2.4
Union,15.444840608198726,5.2
Spencer,15.429825765000219,3.7000000000000006
Porter,15.35741190340685,1.8000000000000003
Jasper,15.353861282152778,3.2
Johnson,15.304969463942294,2.2
Noble,15.290422814189336,2.5
Warrick,15.164916603753248,2.3
Wells,15.164879268285942,2.6
Hendricks,15.083812456372373,1.6
Hancock,15.036811707710898,1.9
Boone,15.031592850333045,1.9
Hamilton,15.01249324952473,0.9000000000000001
LaGrange,15.00022856793017,1.5
