county,pov,moe
Allen,24.4,6.8
Anderson,13.5,8.9
Atchison,13.0,5.9
Barber,38.1,13.9
Barton,20.6,5.2
Bourbon,16.3,5.3
Brown,17.1,3.8
Butler,9.9,2.7
Chase,10.5,7.2
Chautauqua,22.7,7.9
Cherokee,12.0,4.4
Cheyenne,24.9,14.2
Clark,17.5,11.6
Clay,16.5,9.2
Cloud,11.1,5.6
Coffey,13.3,4.3
Comanche,11.3,10.7
Cowley,18.1,4.4
Crawford,25.8,4.8
Decatur,19.6,8.9
Dickinson,11.0,4.1
Doniphan,10.3,5.3
Douglas,10.0,2.5
Edwards,17.8,7.5
Elk,17.4,7.4
Ellis,10.8,3.7
Ellsworth,10.7,4.9
Finney,17.2,5.8
Ford,16.4,4.4
Franklin,6.4,2.5
Geary,28.6,4.5
Gove,3.7,3.4
Graham,10.3,6.2
Grant,8.0,5.4
Gray,5.4,3.7
Greeley,14.2,8.5
Greenwood,21.4,7.4
Hamilton,11.6,10.4
Harper,18.0,7.4
Harvey,12.6,5.0
Haskell,11.3,6.2
Hodgeman,10.4,7.1
Jackson,13.4,6.2
Jefferson,6.3,3.0
Jewell,30.9,10.9
Johnson,5.4,0.7
Kearny,24.0,10.6
Kingman,11.1,6.2
Kiowa,4.1,2.9
Labette,10.9,4.0
Lane,10.3,10.5
Leavenworth,10.2,2.2
Lincoln,14.3,11.9
Linn,10.4,4.6
Logan,15.2,9.3
Lyon,17.5,5.3
McPherson,10.2,3.8
Marion,6.0,2.9
Marshall,9.9,5.6
Meade,6.9,4.1
Miami,6.8,3.3
Mitchell,18.8,14.0
Montgomery,25.7,4.6
Morris,11.3,7.6
Morton,16.7,12.2
Nemaha,8.6,3.9
Neosho,20.2,6.1
Ness,19.4,10.8
Norton,8.5,3.5
Osage,15.0,5.2
Osborne,18.4,8.2
Ottawa,12.2,4.8
Pawnee,7.2,5.2
Phillips,35.2,13.1
Pottawatomie,10.2,4.7
Pratt,10.8,5.9
Rawlins,9.9,6.7
Reno,14.5,3.6
Republic,15.7,7.3
Rice,14.2,6.1
Riley,18.5,3.5
Rooks,2.8,1.6
Rush,9.6,5.5
Russell,23.7,9.8
Saline,13.2,3.9
Scott,3.8,4.8
Sedgwick,17.9,1.4
Seward,16.9,5.5
Shawnee,15.3,2.2
Sheridan,1.5,1.9
Sherman,12.3,8.6
Smith,7.0,3.4
Stafford,12.9,6.3
Stanton,34.5,28.2
Stevens,19.1,13.0
Sumner,12.4,4.2
Thomas,5.4,4.8
Trego,9.9,8.7
Wabaunsee,5.2,2.3
Wallace,28.7,14.0
Washington,14.5,7.3
Wichita,16.8,8.4
Wilson,15.8,5.3
Woodson,16.5,7.9
Wyandotte,25.6,2.6
