county,pov,moe
Stanton,39.67768235894494,28.200000000000003
Barber,30.310369820085768,13.899999999999999
Phillips,27.72725236047957,13.100000000000001
Wallace,23.70790240614128,13.999999999999998
Cheyenne,23.592244028959286,14.2
Jewell,21.817210797266394,10.900000000000002
Kearny,21.343623411100936,10.6
Russell,20.83262021937623,9.8
Mitchell,20.469456241533532,13.999999999999998
Stevens,20.095546472444493,13
Ness,19.172648330072327,10.8
Allen,19.09198410873075,6.800000000000001
Clark,18.919485551778287,11.600000000000001
Morton,18.742654500533565,12.200000000000001
Decatur,18.373279319600535,8.9
Chautauqua,18.370205048913466,7.9
Greenwood,17.96481723908328,7.400000000000001
Crawford,17.95283408171273,4.8
Lincoln,17.82575131517149,11.9
Montgomery,17.81424780174473,4.6
Geary,17.783581506457107,4.5
Osborne,17.677157629376065,8.200000000000001
Clay,17.332536030808576,9.2
Harper,17.157891163725406,7.400000000000001
Neosho,17.11131977407217,6.1000000000000005
Wichita,17.078942702257628,8.4
Edwards,17.07812275804041,7.500000000000001
Logan,16.936659660480096,9.3
Elk,16.83905730201431,7.400000000000001
Barton,16.756744373875186,5.2
Woodson,16.649839148617048,7.9
Wyandotte,16.581920731551573,2.6
Anderson,16.281168686591606,8.9
Greeley,16.228062610484766,8.5
Comanche,16.182362842357243,10.7
Hamilton,16.135248443913312,10.4
Republic,16.093061830153115,7.3
Finney,15.929217066615703,5.800000000000001
Lyon,15.773997677038738,5.3
Washington,15.76235918339951,7.3
Seward,15.62067343404245,5.500000000000001
Cowley,15.58499488395223,4.4
Sherman,15.551998823833252,8.600000000000001
Riley,15.135078600498847,3.4999999999999996
Bourbon,15.086333528940207,5.3
Wilson,15.016562822836526,5.3
Rice,14.881413486365553,6.1000000000000005
Jackson,14.79609125742238,6.199999999999999
Osage,14.66610721531386,5.2
Lane,14.634101021515061,10.5
Morris,14.560324290395666,7.6
Stafford,14.555869284856804,6.3
Ford,14.532232836423095,4.4
Brown,14.520067391620719,3.8
Atchison,14.384875009241341,5.9
Haskell,13.843667670085246,6.199999999999999
Harvey,13.604933365185335,5
Chase,13.601223537152299,7.199999999999999
Kingman,13.578675006006222,6.199999999999999
Hodgeman,13.443763146207054,7.1
Coffey,13.370953779137636,4.300000000000001
Reno,13.30550229245328,3.5999999999999996
Cloud,13.271325846967638,5.599999999999999
Ottawa,13.202221560537728,4.8
Pratt,13.008625269519957,5.9
Saline,12.937436665593951,3.9
Sumner,12.873666785377926,4.2
Trego,12.820643408099407,8.7
Cherokee,12.790694779021534,4.4
Graham,12.58718566177007,6.199999999999999
Sedgwick,12.582047715692878,1.3999999999999997
Ellsworth,12.190458780382976,4.9
Shawnee,12.106195627108136,2.2
Doniphan,12.082813045311749,5.3
Rawlins,11.927239128528472,6.7
Dickinson,11.913180163118792,4.1000000000000005
Labette,11.73549891969239,4
Linn,11.65515559305312,4.6
Ellis,11.384662794758382,3.7000000000000006
Marshall,11.370612213300472,5.599999999999999
Pottawatomie,11.090705967139982,4.7
Rush,10.910728286457507,5.500000000000001
McPherson,10.5122738842614,3.8
Grant,10.420082606469641,5.4
Pawnee,10.143699910007214,5.2
Nemaha,9.70009496414796,3.9
Leavenworth,9.513708393194957,2.2
Butler,9.461404184202603,2.7
Douglas,9.43358540702718,2.5
Norton,9.32649559368012,3.4999999999999996
Meade,9.166925879160596,4.1000000000000005
Smith,8.902472050544102,3.4000000000000004
Miami,8.58785170608239,3.2999999999999994
Thomas,8.278788208435927,4.8
Jefferson,8.16902840273929,3
Gray,8.168655996158298,3.7000000000000006
Franklin,8.093581949111885,2.5
Marion,7.9808860833200335,2.9000000000000004
Scott,7.457196774007237,4.8
Wabaunsee,7.109600446815316,2.3
Johnson,7.087552355155245,0.6999999999999998
Kiowa,7.076969656800217,2.9000000000000004
Gove,6.666337063272771,3.4000000000000004
Rooks,5.933349673094256,1.6
Sheridan,5.421851381890011,1.9
