county,pov,moe
Leslie,28.14472770466801,14.100000000000001
Knox,27.114727704668006,7.6
Floyd,26.08472770466801,7.500000000000001
Wolfe,25.144911209886917,16.499999999999996
Lee,24.42198182394117,14.299999999999999
Fulton,24.024209288711642,14.2
Elliott,22.712642152158594,13.999999999999998
Menifee,22.113477012900404,11.9
Hickman,22.08225864534169,13.4
Magoffin,21.302213127265368,11.700000000000001
Marion,20.278043199363182,11.199999999999998
Crittenden,19.678931634171313,11.3
Livingston,19.601488189373015,12.3
Clinton,19.584359106019406,11.399999999999999
Todd,19.56018265321446,11.000000000000002
Owsley,19.438158992253108,15.8
Clay,19.173804978210242,8.1
Casey,19.138151959724457,9.3
Harlan,19.0835465988307,8.3
Knott,19.050785035760274,8.4
Breckinridge,18.948892676719918,9.5
McCreary,18.916495005768947,9.1
Breathitt,18.858026032460835,8.4
Lewis,18.781997020978018,9.6
Lawrence,18.666774209962895,9.2
Rowan,18.371169247450812,9.1
Metcalfe,18.14873716415496,9.1
Cumberland,18.065085007629825,11.8
Carroll,18.014004740080892,10.4
Letcher,18.00314843354063,8
Wayne,17.979912505951777,7.400000000000001
Carlisle,17.91368352411217,9.3
Rockcastle,17.713168895400354,7.9
Bracken,17.42954097349437,11.000000000000002
Estill,17.218755169029446,7.9
Trigg,17.205816305253745,9.700000000000001
Fleming,16.631620977126886,8.4
Robertson,16.578009961313604,14.100000000000001
Perry,16.489689386565892,8.4
Bell,16.363848287993616,7.1
Martin,16.353984221514455,9.700000000000001
Powell,16.28649542594529,8.3
Bath,16.173615968576243,6.7
Adair,16.10491333372624,6.9
Barren,15.851040865288663,6
Green,15.795112072596822,7.6
Carter,15.78558012049373,6.599999999999999
Grayson,15.714022451548843,6.800000000000001
Hart,15.582023284501409,6.800000000000001
Monroe,15.546325765813693,7.3
Allen,15.356674357079605,7.7
Hopkins,15.346833359769116,5.800000000000001
Larue,15.136478743654397,7.7
Pike,15.069244742163576,4.7
Morgan,15.053786838166511,7.3
Graves,14.985160515852705,6.7
Gallatin,14.929846409028332,8.3
Garrard,14.713186000643466,8.200000000000001
Russell,14.55720308804793,6.199999999999999
Mason,14.32703919624072,6.4
Hancock,14.22888559932193,7.6
Pulaski,14.224084989310432,4.2
Johnson,14.186798218776161,6.800000000000001
Logan,14.149316353155184,7.3
Butler,14.143819408976485,6.199999999999999
Henry,13.988647067177359,7.3
Laurel,13.814981534325513,4.5
Whitley,13.724069652341864,5.699999999999999
Jackson,13.518411821624507,8.5
Calloway,13.246264027325674,6.999999999999999
Muhlenberg,13.095328535192213,5.9
Union,13.09177788904744,6.199999999999999
Boyd,13.005791696102415,4.9
Henderson,12.825510817786778,4.2
Harrison,12.510373735499277,6.599999999999999
Ballard,12.450914540061293,6.1000000000000005
Clark,12.398836581103561,5
McCracken,12.281182176544283,4.2
Edmonson,12.19714696741153,7.7
Pendleton,12.085060478374428,5.9
Greenup,11.950506245830377,4.9
Franklin,11.863608608738454,4.4
Taylor,11.80516148139421,7.6
Warren,11.568973252814219,3.0999999999999996
Ohio,11.561570785334714,5.800000000000001
Meade,11.52694615027623,5.1
Montgomery,11.432408402384127,5.3
Anderson,11.263009137851483,6.599999999999999
Kenton,10.773065409910561,3.2999999999999994
Caldwell,10.687197575193222,5.500000000000001
Christian,10.652652270118738,3.4000000000000004
Jefferson,10.398808101024816,1.2
Lincoln,10.331839844546368,5.2
Bourbon,10.251726088063185,5.3
Madison,10.21166422388506,3
Nicholas,10.165399121907958,7.3
Mercer,10.068616367808831,6.599999999999999
Jessamine,10.038588096755054,4.2
Webster,10.03135602875888,6.1000000000000005
Marshall,10.00998683208293,5
Daviess,9.766609460518056,2.6
Fayette,9.726386335375965,2.3
Boyle,9.57505964846826,4.2
Bullitt,9.260401827443692,3.7000000000000006
Washington,9.118398287272598,4.8
Grant,8.929914689404905,4.7
Spencer,8.904528723700366,5.1
Simpson,8.897615237423247,5.599999999999999
Owen,8.642465629910305,6
Lyon,8.01189842819404,8.4
Nelson,7.680257306608527,3.4999999999999996
Hardin,7.658432148136038,2.3
Woodford,7.325239757117041,4.6
Scott,7.278046621546144,2.7999999999999994
Campbell,7.043379813379393,2.7
Shelby,6.484218788585391,3.4999999999999996
McLean,6.171163304654659,3.5999999999999996
Boone,5.46786633176214,2.1
Trimble,5.420855395857316,4.7
Oldham,4.1767051437328,2.1
