county,pov,moe
Acadia,35.3,5.6
Allen,26.5,6.9
Ascension,14.9,2.7
Assumption,15.1,6.0
Avoyelles,38.0,4.3
Beauregard,16.6,4.0
Bienville,51.1,9.7
Bossier,22.8,3.0
Caddo,30.5,2.9
Calcasieu,24.5,3.1
Caldwell,28.2,8.1
Cameron,17.8,15.9
Catahoula,40.2,11.5
Claiborne,52.2,8.7
Concordia,51.4,7.3
De Soto,25.1,5.6
East Baton Rouge,23.6,2.1
East Carroll,62.9,11.4
East Feliciana,16.5,6.7
Evangeline,39.4,7.9
Franklin,39.8,7.0
Grant,16.9,5.0
Iberia,34.8,4.4
Iberville,22.3,5.9
Jackson,45.4,8.1
Jefferson,23.4,2.0
Jefferson Davis,17.3,5.2
Lafayette,23.9,3.0
Lafourche,22.5,4.2
LaSalle,24.0,7.4
Lincoln,37.2,5.8
Livingston,14.0,3.1
Madison,52.4,8.6
Morehouse,43.3,8.2
Natchitoches,27.9,4.7
Orleans,32.6,2.5
Ouachita,32.8,3.0
Plaquemines,20.6,5.7
Pointe Coupee,22.8,7.4
Rapides,24.7,3.5
Red River,37.2,9.2
Richland,30.5,5.7
Sabine,31.3,5.0
St. Bernard,29.0,5.2
St. Charles,14.8,4.4
St. Helena,38.6,9.9
St. James,17.7,6.3
St. John the Baptist,16.4,5.2
St. Landry,36.8,3.9
St. Martin,21.1,4.8
St. Mary,24.9,4.3
St. Tammany,17.3,2.1
Tangipahoa,26.6,3.8
Tensas,52.8,9.6
Terrebonne,20.6,3.6
Union,48.0,9.0
Vermilion,23.5,4.7
Vernon,23.2,3.9
Washington,33.3,5.8
Webster,37.9,5.1
West Baton Rouge,20.4,7.5
West Carroll,29.1,9.6
West Feliciana,25.9,12.4
Winn,28.2,7.5
