county,pov,moe
East Carroll,24.04126920802945,11.399999999999999
Tensas,23.966269208029452,9.6
Catahoula,23.91860631273785,11.5
Madison,23.89876920802945,8.600000000000001
West Feliciana,22.82691718666139,12.399999999999999
St. Helena,22.670277055567386,9.9
Bienville,22.516848331578824,9.700000000000001
West Carroll,22.185795583277365,9.6
Red River,22.115963423694957,9.2
Union,21.971469830355883,9
Claiborne,21.737810437374865,8.7
Morehouse,21.348018410047747,8.200000000000001
Jackson,21.270246284341848,8.1
Evangeline,21.1131925009467,7.9
Caldwell,20.866024107693796,8.1
Concordia,20.647124276199342,7.3
Franklin,20.412619118254156,6.999999999999999
Winn,20.291938513260828,7.500000000000001
Lincoln,19.471964374350776,5.800000000000001
Washington,19.442570336631974,5.800000000000001
Acadia,19.304048871591302,5.599999999999999
Allen,19.262667664891655,6.9
Richland,19.244686642306082,5.699999999999999
Webster,18.928905632961534,5.1
Sabine,18.7707613672379,5
St. Bernard,18.748472161979425,5.2
Iberia,18.36379964053455,4.4
Avoyelles,18.307230115489435,4.300000000000001
Natchitoches,18.05656285630589,4.7
St. Landry,17.986346224998563,3.9
De Soto,17.688803965806002,5.599999999999999
Ouachita,17.256222912092092,3
Tangipahoa,17.22996713177462,3.8
Caddo,17.12101321125378,2.9000000000000004
Orleans,16.854253535339854,2.5
St. Mary,16.393502632511716,4.300000000000001
LaSalle,16.244053001350352,7.400000000000001
Rapides,15.391731688104873,3.4999999999999996
Calcasieu,14.58018390219583,3.0999999999999996
Lafayette,13.090982563776066,3
Vermilion,11.918212619290527,4.7
East Baton Rouge,11.830476686761182,2.1
Jefferson,9.974290716984733,2
Vernon,9.52758199390301,3.9
Bossier,8.345165559836659,3
Pointe Coupee,8.129829514531055,7.400000000000001
Lafourche,6.842704705222803,4.2
Iberville,6.297004978416138,5.9
St. Martin,5.641599241311495,4.8
Plaquemines,5.231834367914975,5.699999999999999
Terrebonne,4.820016101672619,3.5999999999999996
West Baton Rouge,4.648188399986555,7.500000000000001
Cameron,4.535779380045957,15.9
St. James,4.28724100265857,6.3
Jefferson Davis,4.181286604936522,5.2
St. Tammany,4.103347125863201,2.1
Grant,4.069010773107586,5
Beauregard,4.038630405690957,4
East Feliciana,4.022597276334648,6.7
St. John the Baptist,4.010704050392833,5.2
Assumption,4.004738806044221,6
Ascension,4.001490821877733,2.7
St. Charles,4.000358812637435,4.4
Livingston,4.000020625012983,3.0999999999999996
