county,pov,moe
Oxford,19.049877389376807,4.4
Somerset,18.423204341336724,4.2
Washington,18.08631587029258,2.9000000000000004
Androscoggin,17.07902556850441,3.5999999999999996
Piscataquis,16.762811819745583,5.3
Aroostook,16.716882791960003,2.9000000000000004
Kennebec,16.68992382326536,3
Franklin,15.89252340392453,4.8
Waldo,14.852451853401687,4.1000000000000005
Lincoln,14.395715739736556,4.300000000000001
Sagadahoc,12.27119497217321,5.699999999999999
Hancock,12.096333063880726,3.2999999999999994
Penobscot,11.908657586079093,2.4
Knox,11.845662291906656,3.9
York,8.813181666962084,2.3
Cumberland,7.116237817454321,1.3
