county,pov,moe
Montmorency,25.684214910419566,9.700000000000001
Clare,19.85772990857999,5
Luce,19.075488850870883,9
Lake,18.534587733396464,6.599999999999999
Ogemaw,18.5092437693262,6.599999999999999
Schoolcraft,18.292024534748126,7.500000000000001
Chippewa,18.119006495638196,5.699999999999999
Mason,18.008942827056103,5.699999999999999
Mackinac,17.987293229823756,5.699999999999999
Alcona,17.760337528167614,6.5
Iron,17.692035300905005,7.1
Roscommon,17.589144381891092,4.8
Ontonagon,17.540933525295717,7.7
Hillsdale,17.34138917809326,4.5
Oscoda,16.80176875980314,6.9
Presque Isle,16.783850828035792,6.1000000000000005
Newaygo,16.69719971315871,4.8
Saginaw,16.629865354895045,3
Iosco,16.57466727213742,5.1
Alpena,16.466687869415434,4.6
Sanilac,16.414292415491698,4
Kalkaska,16.347633268232197,5.599999999999999
Branch,16.28759382110718,4.5
Gratiot,16.17758848700247,4
Cass,16.10248061798117,4.1000000000000005
Keweenaw,16.03807130973715,10.1
Gladwin,15.98807827905176,4.5
Osceola,15.986258033498657,4.2
Baraga,15.986090187920432,6.4
Cheboygan,15.973025305235083,4.4
Berrien,15.91618990786948,3
Crawford,15.817803064264488,4.6
Wayne,15.787585607200368,0.8999999999999999
Bay,15.74814086568804,3.2
Gogebic,15.723758848296448,5.4
Oceana,15.710331187609144,3.9
Calhoun,15.598237839020523,2.7
Isabella,15.45696283657868,3.2999999999999994
Mecosta,15.217329878299482,3.4000000000000004
St. Joseph,15.072248638126764,3.8
Van Buren,15.050649066285365,2.9000000000000004
Wexford,14.95989121070101,3.4999999999999996
Delta,14.945032406337418,4.300000000000001
Genesee,14.81222803415302,1.7999999999999998
Arenac,14.76563028685614,3.8
Missaukee,14.660859614928723,4.2
Grand Traverse,14.502235380899084,3.4000000000000004
Muskegon,14.145986960945036,2.4
Antrim,14.011280580717974,3.7000000000000006
Manistee,13.989081211213634,3
Shiawassee,13.637156471960305,3.8
St. Clair,13.521801725570956,2.1
Jackson,13.493093496824574,2.2
Montcalm,13.3317998138482,2.6
Huron,13.249581018043072,2.6
Ingham,13.110541229545305,2
Otsego,13.04681254501417,3.4000000000000004
Monroe,12.81429347579789,2.6
Benzie,12.630271109210451,3.5999999999999996
Marquette,12.596890243470456,3.2999999999999994
Lenawee,12.444938351854166,2.1
Tuscola,12.398423891421388,2.3
Allegan,12.203560163155334,2.2
Charlevoix,12.104353136792614,4.6
Clinton,12.001749107379965,3.4000000000000004
Lapeer,11.820561497536733,2.3
Midland,11.587076549893826,2.4
Houghton,11.580273089652838,2.7999999999999994
Ionia,11.528030359041553,2.6
Kalamazoo,11.361550841180579,1.9
Kent,11.278156228215034,1.2
Dickinson,11.187741156695944,4.5
Leelanau,11.135145235441085,3
Macomb,11.009338051261523,1
Emmet,10.691197474135675,3.4999999999999996
Menominee,10.551643963698007,2.5
Barry,10.462845138617963,2.9000000000000004
Washtenaw,10.198032213410348,1.5
Alger,9.366877068550622,3.7000000000000006
Eaton,8.946673720918358,1.5
Oakland,8.419081215806516,0.658
Ottawa,7.702568009028658,1.1
Livingston,6.948955284119633,1.6
