county,pov,moe
Aitkin,14.3,3.6
Anoka,7.8,1.1
Becker,15.7,2.7
Beltrami,20.7,3.1
Benton,11.0,3.5
Big Stone,13.7,5.5
Blue Earth,11.9,2.8
Brown,8.6,3.2
Carlton,15.8,4.8
Carver,3.6,1.0
Cass,19.4,3.7
Chippewa,12.1,5.8
Chisago,6.9,1.9
Clay,17.3,4.4
Clearwater,9.8,2.5
Cook,11.1,5.5
Cottonwood,15.1,4.8
Crow Wing,14.0,2.8
Dakota,7.0,0.9
Dodge,5.5,1.7
Douglas,9.2,3.0
Faribault,16.0,4.2
Fillmore,11.9,2.8
Freeborn,12.5,3.2
Goodhue,11.7,2.9
Grant,14.7,6.1
Hennepin,11.2,0.8
Houston,6.0,2.1
Hubbard,10.0,2.5
Isanti,11.1,3.9
Itasca,14.6,3.0
Jackson,12.3,4.5
Kanabec,11.1,3.8
Kandiyohi,16.8,3.6
Kittson,8.8,4.0
Koochiching,21.2,7.5
Lac qui Parle,10.2,3.3
Lake,6.5,3.1
Lake of the Woods,19.1,11.0
Le Sueur,9.6,3.1
Lincoln,7.8,2.3
Lyon,12.2,3.1
McLeod,7.8,2.8
Mahnomen,26.9,4.2
Marshall,9.6,4.4
Martin,14.4,5.2
Meeker,8.6,2.2
Mille Lacs,14.7,3.7
Morrison,10.7,2.7
Mower,18.6,4.3
Murray,7.4,2.3
Nicollet,11.7,3.9
Nobles,15.8,5.6
Norman,10.0,3.7
Olmsted,8.0,1.6
Otter Tail,9.7,2.0
Pennington,13.5,4.7
Pine,12.2,2.6
Pipestone,19.1,5.0
Polk,14.0,3.3
Pope,10.8,4.2
Ramsey,18.6,1.7
Red Lake,9.5,4.1
Redwood,10.2,2.7
Renville,13.4,3.3
Rice,11.6,3.8
Rock,9.6,3.1
Roseau,14.2,4.6
St. Louis,13.3,1.7
Scott,6.9,2.1
Sherburne,5.9,2.4
Sibley,10.0,5.4
Stearns,14.2,3.2
Steele,9.0,2.5
Stevens,8.2,3.1
Swift,13.0,3.4
Todd,19.3,4.3
Traverse,10.6,4.6
Wabasha,9.1,2.9
Wadena,12.8,5.0
Waseca,5.3,2.4
Washington,4.3,0.9
Watonwan,21.4,8.1
Wilkin,11.7,6.9
Winona,9.0,2.2
Wright,5.1,1.4
Yellow Medicine,9.6,2.9
