county,pov,moe
Lake of the Woods,23.52964371157914,11.000000000000002
Mahnomen,21.320375489915662,4.2
Watonwan,21.320375489915662,8.1
Koochiching,21.320375489915662,7.500000000000001
Wilkin,20.23692108026625,6.9
Grant,19.7119274628385,6.1000000000000005
Chippewa,19.444881697554173,5.800000000000001
Nobles,19.322611959513107,5.599999999999999
Big Stone,19.24117208029808,5.500000000000001
Cook,19.077092651976198,5.500000000000001
Martin,19.01033715199483,5.2
Pipestone,18.85529005455013,5
Wadena,18.844157178324892,5
Carlton,18.699405018169276,4.8
Cottonwood,18.699257547859183,4.8
Pennington,18.617140730473103,4.7
Roseau,18.542389519346223,4.6
Jackson,18.44904272126973,4.5
Clay,18.387838121541318,4.4
Todd,18.309951893516054,4.300000000000001
Mower,18.309945842789407,4.300000000000001
Faribault,18.231996945447364,4.2
Traverse,18.01879666732899,4.6
Nicollet,17.929285619879376,3.9
Pope,17.885837765820863,4.2
Cass,17.842517080345548,3.7000000000000006
Mille Lacs,17.842120918855308,3.7000000000000006
Rice,17.81772256517525,3.8
Isanti,17.810405332682176,3.9
Kandiyohi,17.764580301533336,3.5999999999999996
Aitkin,17.763683536960958,3.5999999999999996
Sibley,17.716886181448878,5.4
Kanabec,17.692505378364267,3.8
Swift,17.60061948990145,3.4000000000000004
Polk,17.528348125729377,3.2999999999999994
Renville,17.525718217960705,3.2999999999999994
Stearns,17.451452236796655,3.2
Freeborn,17.440447721642943,3.2
Benton,17.41350909992732,3.4999999999999996
Beltrami,17.375081970643393,3.0999999999999996
Lyon,17.355956077136348,3.0999999999999996
Itasca,17.296664455080233,3
Goodhue,17.166037365914335,2.9000000000000004
Crow Wing,17.13943274404347,2.7999999999999994
Blue Earth,17.106220328484447,2.7999999999999994
Fillmore,17.09820984950494,2.7999999999999994
Becker,17.06331633304892,2.7
Pine,16.96263175288801,2.6
Lac qui Parle,16.93650409918802,3.2999999999999994
Norman,16.750897465494734,3.7000000000000006
Morrison,16.67631773461813,2.7
Redwood,16.36538363340327,2.7
Ramsey,16.284389604954043,1.7000000000000002
St. Louis,16.278498713388874,1.7000000000000002
Hubbard,16.069276069746845,2.5
Marshall,15.494730813795742,4.4
Hennepin,15.478853809182953,0.8
Clearwater,15.414535242915143,2.5
Le Sueur,15.129376761345185,3.0999999999999996
Otter Tail,14.77060408299942,2
Rock,14.171323428669538,3.0999999999999996
Yellow Medicine,13.471979655023478,2.9000000000000004
Red Lake,13.442966902497849,4.1000000000000005
Douglas,12.147896831454869,3
Wabasha,11.32573625790649,2.9000000000000004
Steele,10.359296032838897,2.5
Winona,9.44871561924665,2.2
Kittson,9.176651547934364,4
Brown,8.144858428522282,3.2
Meeker,7.201869260477567,2.2
Stevens,6.7107888297771785,3.0999999999999996
Olmsted,5.94132134861188,1.6
Anoka,5.44216106938815,1.1
Lincoln,5.167334432514313,2.3
McLeod,4.881366854613794,2.7999999999999994
Murray,4.611205033824946,2.3
Dakota,4.388816352040489,0.8999999999999999
Chisago,4.279983015229423,1.9
Scott,4.184810599720988,2.1
Lake,4.122721155456018,3.0999999999999996
Houston,4.068640328351433,2.1
Sherburne,4.038839542239665,2.4
Dodge,4.018859480014774,1.7000000000000002
Waseca,4.008740467100597,2.4
Wright,4.002931273481983,1.3999999999999997
Washington,4.000660804744452,0.8999999999999999
Carver,4.000040461134098,1
