fips,county,pov,moe
29227,Worth,27.128700664234724,17.7
29035,Carter,26.233535247155395,14.100000000000001
29223,Wayne,23.6495401229852,12.6
29149,Oregon,22.860376754676246,10
29059,Dallas,21.96433086183353,10.2
29229,Wright,21.87132162619577,10.1
29153,Ozark,21.761383686012227,10.1
29179,Reynolds,21.679207859422426,9.8
29171,Putnam,21.302560303892193,16.1
29129,Mercer,21.18460315333423,15.2
29155,Pemiscot,20.734121115430604,7.1
29015,Benton,20.677250054522954,8.3
29141,Morgan,20.494355296202006,8.4
29133,Mississippi,20.461465480508828,8.1
29093,Iron,20.21356944197425,7.9
29221,Washington,20.090654660441416,7.7
29115,Linn,20.038831525154617,7.500000000000001
29217,Vernon,20.03351765531826,7.6
29007,Audrain,19.880816649119616,7.199999999999999
29131,Miller,19.866209981333004,7.400000000000001
29105,Laclede,19.594973889588893,6.999999999999999
29013,Bates,19.458064911900454,6.599999999999999
29091,Howell,19.34629550448625,6.4
29065,Dent,19.32469072480439,6.599999999999999
29175,Randolph,19.179977123606154,6.3
29009,Barry,19.06005865741576,6
29215,Texas,18.94266141292831,5.9
29119,McDonald,18.788644251243117,5.699999999999999
29225,Webster,18.721678567588285,5.699999999999999
29023,Butler,18.602091853484488,5.4
29069,Dunklin,18.554406624786164,5.3
29213,Taney,18.096216608102285,4.7
29017,Bollinger,17.583332200930172,9.4
29011,Barton,17.56801966433677,6.999999999999999
29097,Jasper,17.530279259812115,3.8
29039,Cedar,17.402951883289354,8
29211,Sullivan,17.070393966201948,7.1
29041,Chariton,16.960956480269296,6.4
29510,St. Louis City,16.95184000424506,2.9000000000000004
29057,Dade,16.660041747330375,7.1
29125,Maries,16.487814489816685,9.3
29163,Pike,16.35215456312679,7.400000000000001
29021,Buchanan,16.34608182125899,4.1000000000000005
29025,Caldwell,16.33822183021256,6.1000000000000005
29081,Harrison,16.312694795059706,8.200000000000001
29207,Stoddard,15.728268107749912,5.9
29137,Monroe,15.630390831566073,7.199999999999999
29029,Camden,15.408380191870737,4.7
29067,Douglas,15.253791710814449,8.4
29045,Clark,15.12840105097403,9.8
29005,Atchison,14.99946300840572,6.7
29187,St. Francois,14.980462442347006,4.4
29073,Gasconade,14.917320266458656,6.4
29181,Ripley,14.860543500600414,6
29167,Polk,14.801470320201712,4.6
29205,Shelby,14.595046623771001,7.3
29145,Newton,14.368927778532642,4.300000000000001
29139,Montgomery,14.3642973988101,5.800000000000001
29111,Lewis,14.263800573182403,7.400000000000001
29109,Lawrence,14.138837891377834,4.4
29143,New Madrid,14.094344323399987,4.6
29061,Daviess,14.070926864999933,5.500000000000001
29123,Madison,13.865558368520226,7.8
29201,Scott,13.84603964075378,3.8
29209,Stone,13.473247787101478,5.2
29147,Nodaway,13.26797467831414,4.8
29075,Gentry,12.92411334609225,6
29085,Hickory,12.910161307379001,8.7
29089,Howard,12.905188274237329,6.3
29083,Henry,12.903976788427002,5.1
29159,Pettis,12.881938063712647,4.1000000000000005
29169,Pulaski,12.782434069654764,4.1000000000000005
29219,Warren,12.750940426123467,6.4
29053,Cooper,12.611248050541088,4.6
29079,Grundy,12.54868612564357,4.9
29055,Crawford,12.31873384032738,5
29177,Ray,11.960201086481362,4.300000000000001
29087,Holt,11.86730254478348,5.9
29127,Marion,11.823459925357174,4.9
29027,Callaway,11.684489738716772,5.3
29031,Cape Girardeau,11.653490478723787,3.4000000000000004
29186,Ste. Genevieve,11.566637045894087,5.800000000000001
29095,Jackson,11.415125495243107,1.3999999999999997
29103,Knox,11.252773265897305,7.3
29161,Phelps,10.962123474747546,4.2
29195,Saline,10.906624156162732,4.4
29203,Shannon,10.888346681325467,7.500000000000001
29157,Perry,10.736616382551484,5.1
29135,Moniteau,10.552998527184812,5.800000000000001
29019,Boone,9.93080410367822,2.7
29121,Macon,9.930479106354099,4.1000000000000005
29113,Lincoln,9.823002656676172,3.2
29185,St. Clair,9.787265726602087,4.4
29033,Carroll,9.777110698931123,5.2
29049,Clinton,9.722700615869083,5.599999999999999
29001,Adair,9.361374387445675,4.300000000000001
29077,Greene,8.831490172697603,1.7000000000000002
29051,Cole,8.726297905677862,2.4
29173,Ralls,8.301996312979458,4.7
29189,St. Louis,8.29197293270163,1
29107,Lafayette,8.169251586107896,3.2
29043,Christian,8.046948229070413,3.2
29047,Clay,7.808934621080081,2
29117,Livingston,7.783303840290068,3.9
29071,Franklin,7.431806995881239,1.7999999999999998
29063,DeKalb,7.332275441606918,4.1000000000000005
29099,Jefferson,7.268399133841222,1.6
29165,Platte,6.988290370079282,2.5
29037,Cass,6.9744510609838635,1.9
29151,Osage,6.762183037454278,4.5
29101,Johnson,6.659460509173104,2.5
29003,Andrew,6.590577246449075,3
29197,Schuyler,6.186206870476009,3.4000000000000004
29183,St. Charles,5.507232827598217,0.8999999999999999
29199,Scotland,5.280186179763452,3.2999999999999994
