county,pov,moe
Adams,39.3,6.7
Alcorn,19.5,4.4
Amite,37.7,9.4
Attala,36.5,7.9
Benton,29.1,10.7
Bolivar,45.1,5.6
Calhoun,30.2,8.3
Carroll,24.6,11.4
Chickasaw,39.5,7.8
Choctaw,27.5,10.1
Claiborne,33.8,13.7
Clarke,25.1,6.2
Clay,30.7,7.3
Coahoma,49.8,6.9
Copiah,38.4,7.7
Covington,34.3,9.8
DeSoto,13.4,1.9
Forrest,28.6,4.6
Franklin,36.8,11.5
George,27.9,7.4
Greene,24.5,7.6
Grenada,32.5,8.1
Hancock,21.8,6.8
Harrison,26.1,2.4
Hinds,30.9,2.9
Holmes,44.4,9.1
Humphreys,55.0,14.7
Issaquena,13.2,18.9
Itawamba,9.5,4.6
Jackson,19.4,3.1
Jasper,27.6,10.1
Jefferson,56.1,13.3
Jefferson Davis,41.1,11.9
Jones,32.9,5.3
Kemper,43.1,11.1
Lafayette,16.0,5.0
Lamar,23.8,4.0
Lauderdale,34.8,5.3
Lawrence,27.7,8.5
Leake,32.7,7.1
Lee,19.4,3.3
Leflore,44.9,8.1
Lincoln,30.3,5.6
Lowndes,27.0,4.2
Madison,13.6,2.9
Marion,34.2,10.4
Marshall,32.1,7.9
Monroe,17.0,5.5
Montgomery,35.1,14.0
Neshoba,42.6,6.1
Newton,37.2,8.1
Noxubee,35.0,9.7
Oktibbeha,21.3,5.7
Panola,23.3,5.2
Pearl River,20.4,4.0
Perry,29.1,9.4
Pike,43.9,7.5
Pontotoc,26.2,5.6
Prentiss,18.6,6.7
Quitman,48.5,10.6
Rankin,12.2,3.4
Scott,29.5,7.8
Sharkey,33.5,12.6
Simpson,22.8,7.0
Smith,24.0,6.9
Stone,31.3,9.1
Sunflower,42.6,6.5
Tallahatchie,39.7,8.7
Tate,23.5,8.0
Tippah,25.4,7.9
Tishomingo,24.0,6.3
Tunica,51.9,15.8
Union,15.2,4.6
Walthall,15.7,6.6
Warren,27.9,5.9
Washington,44.5,5.0
Wayne,29.0,8.7
Webster,23.5,7.4
Wilkinson,31.5,10.3
Winston,45.0,11.0
Yalobusha,33.3,10.2
Yazoo,43.1,6.2
