county,pov,moe
Jefferson,29.154483129272872,13.3
Humphreys,28.53027218723615,14.7
Tunica,27.877768712647672,15.8
Jefferson Davis,22.346828568388872,11.9
Winston,22.048882138588148,11.000000000000002
Kemper,21.96721956739436,11.1
Quitman,21.84912631555144,10.6
Holmes,20.759335614406943,9.1
Leflore,20.16907684556453,8.1
Pike,19.727099470677846,7.500000000000001
Coahoma,19.476934026060533,6.9
Montgomery,19.34945355463499,13.999999999999998
Sunflower,19.029597654376072,6.5
Yazoo,18.8755356860219,6.199999999999999
Neshoba,18.79729068574863,6.1000000000000005
Bolivar,18.603429374032565,5.599999999999999
Franklin,18.54894071275568,11.5
Claiborne,18.540719327733004,13.700000000000001
Tallahatchie,18.468059354521927,8.7
Washington,18.177599368102832,5
Sharkey,17.948798981785544,12.6
Amite,17.90310846373786,9.4
Chickasaw,17.72577495974606,7.8
Noxubee,17.325580433818118,9.700000000000001
Copiah,17.265497314807842,7.7
Marion,17.253218603721347,10.4
Newton,17.133613166066812,8.1
Covington,17.111068057967675,9.8
Adams,16.96038278369495,6.7
Yalobusha,16.785964581152264,10.2
Attala,16.745652975312673,7.9
Wilkinson,16.203980759840242,10.3
Stone,15.536800551797361,9.1
Benton,15.47198702300572,10.7
Grenada,15.430319472873691,8.1
Marshall,15.20455244275949,7.9
Leake,15.034791025207348,7.1
Lauderdale,14.886325146907945,5.3
Perry,14.771770882546004,9.4
Calhoun,14.644618919536489,8.3
Clay,14.38308671444283,7.3
Wayne,14.313446964898564,8.7
Scott,14.26203094418973,7.8
Jasper,14.248038600388572,10.1
Choctaw,14.102256509653438,10.1
Jones,14.059597323593408,5.3
Carroll,13.683250617009895,11.399999999999999
Lawrence,13.669472528876966,8.5
George,13.384133800102862,7.400000000000001
Lincoln,13.212078945276403,5.599999999999999
Tippah,12.498671905379414,7.9
Warren,12.347949302719543,5.9
Greene,11.880564625154399,7.6
Forrest,11.668466419077154,4.6
Pontotoc,11.453821173662496,5.599999999999999
Tate,11.412617305156928,8
Clarke,11.405732500381154,6.199999999999999
Smith,11.351435183948425,6.9
Hinds,11.21212160755233,2.9000000000000004
Webster,10.948108197591228,7.400000000000001
Tishomingo,10.854575847739303,6.3
Lowndes,10.581773347628431,4.2
Simpson,10.393902300963397,6.999999999999999
Hancock,10.112222638624631,6.800000000000001
Panola,9.577876150896259,5.2
Oktibbeha,9.362659721074476,5.699999999999999
Lamar,9.288377213109028,4
Issaquena,9.2421658632404,18.9
Harrison,9.159893927739466,2.4
Prentiss,8.865232103580272,6.7
Alcorn,8.358416453739133,4.4
Pearl River,8.319359771353296,4
Monroe,8.130847253686621,5.500000000000001
Walthall,8.104022863230934,6.599999999999999
Lafayette,7.71420292241435,5
Jackson,7.6438942653283535,3.0999999999999996
Lee,7.574495914841235,3.2999999999999994
Union,7.127879379850116,4.6
Madison,6.420851297922205,2.9000000000000004
DeSoto,6.0132017299077605,1.9
Rankin,5.693385084573245,3.4000000000000004
Itawamba,5.322423939498791,4.6
