county,pov,moe
Liberty,33.19838055350564,18.2
Judith Basin,24.294946830109527,17.5
Wibaux,23.843240776848027,16.400000000000002
Glacier,23.19927035927177,8.200000000000001
Wheatland,23.16749787183407,15.300000000000002
Meagher,22.676730786230742,14.6
Roosevelt,21.599412728194352,6.599999999999999
Daniels,20.688569992654237,15.7
Deer Lodge,20.687084495633183,10.6
Fergus,20.517377923310324,10.6
Lincoln,19.981345780516865,9.1
Rosebud,19.650505713382742,8.8
Pondera,19.443885923124487,8.200000000000001
Carter,19.18265115240735,12.9
Sanders,18.056272463489538,9.1
Big Horn,17.99564909840105,5.500000000000001
Lake,17.981957572992464,5.699999999999999
Teton,17.594481208631816,10.900000000000002
Mineral,17.278962881907027,9.2
Blaine,17.240340892295972,6.5
Treasure,16.707212206464632,11.3
Musselshell,16.376439365969595,9.6
Hill,15.805864526272762,6.7
Park,15.774364378428125,7.9
Prairie,14.837898590637867,10.4
Valley,14.736220721981882,7.500000000000001
Silver Bow,14.217311404949392,4.9
Toole,13.960108148424064,9.4
Powder River,13.765343104708045,8.5
Beaverhead,13.480801744623289,6.4
Chouteau,13.451437213588049,5.699999999999999
Broadwater,13.074101142942032,8
Carbon,12.743076963169958,5.599999999999999
Garfield,12.388759719193462,10.4
Golden Valley,12.278882767289371,7.8
Cascade,12.119868615585524,3.2999999999999994
Ravalli,10.875614231736975,3.4999999999999996
Sheridan,10.240783327167035,5.1
Yellowstone,10.203460362837665,1.9
Flathead,9.429194469538743,2.7
Fallon,9.321678221824687,6.599999999999999
Lewis and Clark,9.267016505403694,2.7
Stillwater,8.927604285778346,4
Gallatin,8.867072067127909,3.2
Powell,8.794451616302409,6.1000000000000005
Missoula,8.697864316955439,2.2
Custer,8.511571992236485,4
Petroleum,8.441873110658976,30.699999999999996
Madison,8.274645927538966,3.0999999999999996
Dawson,8.155299393995442,3.7000000000000006
Phillips,7.270947195457783,3.0999999999999996
Sweet Grass,7.132264823762509,5.2
Jefferson,7.009058473557999,3
Richland,6.761860113106972,3
Granite,6.095533571743621,2.6
McCone,5.725950374324736,2.6
