county,pov,moe
Hyde,35.11426549949301,18.9
Tyrrell,26.403829097505916,18.3
Chowan,22.79417670864877,12.1
Bladen,22.024029222045176,6.599999999999999
Anson,20.955455135657648,9.4
Alleghany,20.649720504800488,8.8
Scotland,20.321234259125134,5
Swain,20.178008664163254,8.200000000000001
Warren,20.170303506182883,8
Greene,20.057809291681316,7.8
Richmond,19.569319193061222,6.999999999999999
Edgecombe,19.228863433775988,6.5
Washington,19.19338770048889,10.900000000000002
Bertie,18.938714105637285,10.6
Person,18.87639639969248,6.199999999999999
Martin,18.839201869197865,6.1000000000000005
Halifax,18.686834911017737,5.800000000000001
Gates,18.67598126064464,12.5
Lenoir,18.38018606084988,5.3
Sampson,18.263430983423508,5.1
Duplin,18.073758399562266,4.9
Montgomery,18.050036537482864,9.4
Hertford,17.6931581511868,6.999999999999999
Northampton,17.570231295100783,6.9
Jackson,17.050843871273496,6.5
Wilson,16.997855007739123,4.9
Beaufort,16.74716502853317,5.4
Robeson,16.702827646539777,2.6
Columbus,16.621783779982653,5.9
Cherokee,16.61072536886224,6.999999999999999
Cleveland,16.37325747660477,4
Rockingham,16.362600070580367,4.2
Vance,16.284817988656318,5.500000000000001
Wilkes,16.281810780345786,4.8
Caswell,16.055002097163676,6.4
Pamlico,15.975343723621119,6.599999999999999
Yadkin,15.781586643297668,5.800000000000001
Burke,15.703178828028419,4.4
Yancey,15.684354937657641,5
Transylvania,15.360797141911423,6.599999999999999
Macon,15.32189988324149,5.800000000000001
Rutherford,15.22953205367927,4
Wayne,15.214701641397276,3
Lee,15.096400459314419,4.6
Surry,14.862261291431164,3.7000000000000006
Alexander,14.83803857603691,5.599999999999999
Rowan,14.769199257765397,3.2999999999999994
Perquimans,14.597884844885703,7.199999999999999
Ashe,14.542323409392765,6.599999999999999
Jones,14.396311594716742,7.199999999999999
Hoke,14.185217481346646,3.7000000000000006
Caldwell,13.817380221445388,4.1000000000000005
Haywood,13.764196436530518,5
Pitt,13.745504644089197,2.9000000000000004
Stanly,13.617699843281445,3.5999999999999996
Granville,13.566963507493815,4.1000000000000005
Stokes,13.449209773948326,5.500000000000001
Nash,13.440528744294921,3.4999999999999996
Forsyth,13.25521027771176,2.3
Davidson,13.224861452772593,2.7999999999999994
Craven,13.217477987991295,4
McDowell,13.212731047480139,4.2
Davie,13.02692506547485,4.2
Mitchell,12.651231839822088,6.1000000000000005
Cumberland,12.552964392416339,1.6
Randolph,12.3258835559762,2.5
Henderson,12.09714224021538,3.2999999999999994
Alamance,12.036835469185776,2.7
Harnett,12.019956466118922,2.6
Catawba,11.674977417614995,2.5
Guilford,11.674231682579979,1.5
Polk,11.515534032537502,5.1
Onslow,11.438772990281679,2.9000000000000004
Chatham,11.4152498629498,3.8
Pender,11.412104839594084,3.2999999999999994
Madison,11.228582195175422,5.4
Franklin,11.054088680875939,3.8
Currituck,10.909140343751881,5.2
Durham,10.77380132421225,2
Avery,10.58261418912746,5.3
Graham,10.508234402154935,7.6
Pasquotank,10.406575668599254,3.2999999999999994
New Hanover,10.257927187933689,2.5
Gaston,10.222108425177606,1.9
Johnston,10.051901827047072,1.9
Brunswick,9.926071010291768,2.7999999999999994
Buncombe,9.840491591284328,2
Mecklenburg,9.656350881529615,0.8999999999999999
Moore,9.499747724294117,2.5
Carteret,9.196262769538643,2.9000000000000004
Iredell,9.067089249107779,1.9
Cabarrus,8.878735109279914,2.9000000000000004
Orange,8.38357956246626,2.2
Dare,8.377081394984534,4.1000000000000005
Lincoln,8.252726105312814,2.3
Camden,7.733499725670971,5.800000000000001
Wake,7.653685646057397,0.8999999999999999
Watauga,7.592377094637126,3
Union,6.841332062066839,1.5
Clay,6.596368963183073,5.4
