county,pov,moe
Blaine,35.40246561603597,21
Wheeler,27.79212515172304,19.3
Boyd,26.074194321663825,13.899999999999999
Dundy,25.74548048351788,16
McPherson,24.73680153883686,15.2
Sioux,23.285727077216116,12.6
Franklin,22.788346560092556,8.9
Red Willow,21.996180998370306,10.5
Pawnee,20.205830690337674,8
Custer,20.089017706556405,7.8
Greeley,19.81309212236622,7.3
Nemaha,19.777672689554166,7.400000000000001
Frontier,19.431581936652663,6.9
Phelps,19.121161838975684,6.3
Burt,19.01894220915507,6
Dawson,19.008363154678147,6
Rock,18.901415539974103,11.199999999999998
Dakota,18.701954743920357,5.599999999999999
Scotts Bluff,18.430825248253647,5.3
Gage,18.410536466847617,5.2
Furnas,18.28410608552987,5.1
Kearney,18.26144598132914,8
Hayes,18.255564250459216,8.9
Thurston,18.232161903834925,4.8
Saline,18.05041578280209,4.7
Garfield,17.99435153197495,10.2
Cherry,17.92002032017426,9.8
Hall,17.591748630032793,3.9
Kimball,17.419950590434414,11.000000000000002
Nance,17.38118163898403,6.7
Chase,17.31666013387842,11.000000000000002
Sherman,17.136257698215054,7.9
Keith,16.915726474426947,9.2
Cheyenne,16.805918925065157,6.999999999999999
Otoe,16.326260448986528,5.599999999999999
Sheridan,16.024296817149814,4.8
Richardson,15.984127207474625,6.5
Polk,15.41847591538416,5.699999999999999
Garden,15.260380282026592,7.500000000000001
Dawes,14.980367753649235,6.599999999999999
Antelope,14.979130918140648,5.699999999999999
Keya Paha,14.923721028225337,9.6
Arthur,14.774556212452831,11.1
Dixon,14.697278010071852,6.3
Madison,14.647442485046055,4.2
Perkins,14.55367887165371,6.800000000000001
Adams,14.349341345042024,4.300000000000001
Hitchcock,13.86803018787304,4.300000000000001
Merrick,13.711210094046772,5.3
Morrill,13.146638997938314,6.4
Gosper,12.57284258758697,5.9
Knox,12.288811872965223,3
Washington,12.22321146877873,3.9
Clay,12.19619082974248,4
Holt,12.10372971078327,4.300000000000001
York,11.811259659168593,3.7000000000000006
Valley,11.752535339815868,5.1
Thayer,11.728752720995908,4
Colfax,11.571905438723924,5.599999999999999
Box Butte,11.418226577434671,5
Pierce,11.34101182731426,4.4
Logan,11.340361756021588,5.9
Douglas,11.333760753151099,1.2
Buffalo,11.232982511951842,2.7
Platte,10.991285884414232,2.9000000000000004
Stanton,10.912010407913124,6.5
Lincoln,10.843324186214561,3.0999999999999996
Cuming,10.80026850624581,4.7
Wayne,10.763405967275547,4.300000000000001
Lancaster,10.549175631649067,1.3999999999999997
Dodge,10.372192278732376,2.9000000000000004
Nuckolls,10.234129153755827,4.1000000000000005
Brown,10.03317075906943,5.3
Webster,9.84321996799915,4.1000000000000005
Hooker,9.59646015780354,16.7
Boone,9.447135368422769,3.2999999999999994
Hamilton,9.3895097485391,3.5999999999999996
Saunders,9.322489990157667,3.7000000000000006
Johnson,9.17132362295961,4.4
Loup,8.660500078953785,16.2
Butler,8.322124292935687,2.5
Thomas,8.218572519053211,24.6
Seward,8.03829165654289,2.4
Harlan,7.949502556965362,3.2
Jefferson,7.8684543949887775,3.8
Cass,7.854377638943978,2.6
Grant,7.845005435706204,4.2
Fillmore,7.832829855486767,3.2999999999999994
Sarpy,7.526112715818694,1.1
Deuel,7.37043349201334,4.1000000000000005
Cedar,7.077770724815075,2.6
Banner,6.447060079458905,2.6
Howard,6.362117255699926,0.8999999999999999
