county,pov,moe
Salem,19.22394850074893,4.2
Cumberland,18.86217799483517,3.0999999999999996
Cape May,17.528812446846754,3.2999999999999994
Atlantic,16.61549483525479,2.1
Ocean,16.611902269164688,2.1
Passaic,16.544809351651367,1.5
Warren,16.506358191311737,2.4
Mercer,16.45090293840641,1.9
Hudson,16.070569007902133,1.3999999999999997
Camden,16.069148181451784,1.3999999999999997
Essex,15.914862629334872,1.2
Union,15.875792021626381,1.2
Burlington,15.83439510213469,1.3
Middlesex,15.681536185856757,1
Gloucester,15.20955696543775,1.1
Bergen,14.491045519927056,1
Sussex,13.757400750157341,2
Monmouth,10.651489976700336,0.6999999999999998
Somerset,7.545042180543114,1.3
Morris,4.982594915400899,1.2
Hunterdon,4.072160035306918,1
