county,pov,moe
Sierra,31.807745483686766,17.299999999999997
Quay,28.738993370050913,15.7
Hidalgo,23.7560505652963,13.999999999999998
Socorro,21.162107898592833,10.1
Catron,21.08745218564621,20
McKinley,19.84644800060269,4.4
Colfax,19.155575368884175,11.000000000000002
Cibola,18.987607701002123,6.7
Mora,18.975063423810024,19.7
Grant,16.929079516461552,7.500000000000001
San Miguel,16.074108801922886,8.9
Luna,15.834899982365268,6.999999999999999
Roosevelt,15.783573318355854,9
Harding,15.188869871196934,14.6
Union,14.247187707563876,14.299999999999999
Lincoln,14.151525260985858,9.1
San Juan,13.992866166304305,3.5999999999999996
Guadalupe,13.960062502545448,14.800000000000002
Torrance,13.226579278102903,7.9
Rio Arriba,12.61012540952559,5.699999999999999
Chaves,12.21471395714097,4.300000000000001
Doña Ana,11.474270909947517,3.0999999999999996
Curry,11.252479783854428,5.2
Otero,10.248115482639747,4.7
De Baca,9.0671019144011,11.9
Valencia,8.980984573325282,4.2
Taos,8.731713572872623,5.800000000000001
Lea,8.144691231940145,3.8
Bernalillo,7.590128855470249,1.6
Eddy,7.199494206328971,4.1000000000000005
Santa Fe,7.071655268080884,2.6
Sandoval,5.794580458198044,1.7000000000000002
Los Alamos,5.214147972908193,1.9
