county,pov,moe
Eureka,49.999760579543015,32.4
Storey,22.226664160694,12.3
Mineral,22.129742302548454,8.4
Lander,20.75108075589428,9.2
Humboldt,20.689658074087568,7.3
Esmeralda,19.350648674213105,8.5
Nye,19.072158820468317,5.700000000000001
Lincoln,18.31105136041075,6.1000000000000005
Pershing,18.116365468197586,5.599999999999999
White Pine,17.854342933451104,4.9
Carson City,17.828835839413053,4.2
Churchill,17.497497924219946,4.3
Lyon,17.476986820605298,4
Elko,17.127569400471863,3.4000000000000004
Douglas,16.617473002698652,2.9000000000000004
Washoe,15.877510648443344,1.3999999999999997
Clark,15.51429159516346,0.6999999999999998
