county,pov,moe
Lake,24.14987732398884,11.8
Morrow,23.287810711390893,8.7
Coos,22.537810711390897,4.9
Malheur,21.787810711390897,6.5
Harney,21.48625859035023,8.4
Sherman,20.94902963152011,7.7
Grant,19.790073788551137,6.199999999999999
Lincoln,18.698522860710266,4.8
Tillamook,18.673963064541287,4.8
Klamath,18.543663955800632,4.6
Union,18.16645290533432,4.2
Josephine,17.920097384447853,3.8
Yamhill,17.29671222177462,3.2999999999999994
Douglas,17.215241332722687,2.9000000000000004
Polk,17.14703192966142,3.4999999999999996
Benton,16.663290640158674,3.2
Jackson,16.530839246307092,2.2
Umatilla,16.359936824437078,3.2999999999999994
Marion,16.349761248466017,1.9
Lane,16.326896581601506,1.7999999999999998
Jefferson,15.657866957493521,4.2
Multnomah,15.506801644879175,1.1
Linn,15.416357086387745,2.7
Wasco,14.151544886667281,3.4000000000000004
Deschutes,12.227434896119899,2.1
Clatsop,11.65054476016157,4
Columbia,9.748435536495863,3.2999999999999994
Crook,8.662524917715746,5.3
Wallowa,7.2645637406148325,6.1000000000000005
Baker,5.929561323329689,5.2
Curry,5.085573263112047,5.1
Washington,4.4378718901535414,1.1
Wheeler,4.288795962628532,8.4
Clackamas,4.070202981710063,1
Hood River,4.019268022660743,2.7999999999999994
Gilliam,4.001570465323322,4.7
