county,pov,moe
Forest,25.358690953629715,16.7
Sullivan,21.91325144098103,7.9
Mifflin,21.023585086639187,6.199999999999999
Cameron,18.9917964056713,9
Jefferson,17.091590807879854,3.4000000000000004
Cambria,16.830329078789948,3
Philadelphia,16.762344727491886,1.6
Mercer,16.69424530148493,2.7999999999999994
Fayette,16.666462919821782,2.7999999999999994
Potter,16.598315171108187,3.9
McKean,16.5613645996099,4.300000000000001
Carbon,16.438360989443783,3.9
Erie,16.380244912018256,2.3
Greene,16.333419361085177,4.7
Clearfield,16.332578654626353,3.2
Luzerne,16.2508643664709,2
Venango,16.16736720643755,3.2999999999999994
Lawrence,16.06342322920904,3.2999999999999994
Columbia,16.049690010676475,3.5999999999999996
Warren,15.524678570261816,3.5999999999999996
Lycoming,15.514169670213409,2.9000000000000004
Tioga,15.469316796576521,2.6
Pike,15.467642770273363,4.2
Blair,15.408064363873311,2.9000000000000004
Wyoming,15.390329778502537,3.0999999999999996
Fulton,15.388636479774116,3.9
Northumberland,15.299032579945443,2.9000000000000004
Bradford,15.203580192351943,2.7
Huntingdon,15.18267435029926,3.2
Lehigh,14.986269435749225,1.9
Wayne,14.893726173607917,3.4999999999999996
Lackawanna,14.861806331958771,2
Susquehanna,14.814508792454943,2.9000000000000004
Lebanon,14.676666519205373,2.9000000000000004
Schuylkill,14.61278714951748,2.6
Crawford,14.601203792745892,2.3
Montour,14.519119514334214,5.699999999999999
Monroe,14.395726177527571,3.0999999999999996
Clinton,14.219183089975715,3.2999999999999994
Juniata,14.176332172934478,4
Berks,14.161478639106791,1.5
Clarion,14.092092363708925,2.7
Somerset,14.02801616786991,2.4
Beaver,13.935616185318016,2.1
Dauphin,13.853634604667478,1.7000000000000002
Indiana,13.806395329013421,2.6
Franklin,13.711149657137462,2.6
Union,13.597402012967127,4
Armstrong,13.571144584266762,3.2
Elk,13.396672377404176,3.5999999999999996
Bedford,13.070431341528657,2.4
Snyder,12.634397767469155,2.7
Northampton,12.112699734616,1.6
Delaware,12.040010265821444,1.3
Allegheny,11.914330968705968,0.8999999999999999
Washington,11.854737856069466,1.7999999999999998
Adams,11.752403081375503,2.3
Westmoreland,11.689853298974121,1.2
Perry,11.2759721312223,2.4
York,10.508408964186863,1
Cumberland,10.355930712889725,1.3999999999999997
Centre,10.226052720611891,2
Lancaster,10.041020632702168,1.2
Butler,9.58793265779026,1.3999999999999997
Chester,9.096379616626852,1.1
Montgomery,8.501867439997806,0.8
Bucks,7.57058896279715,0.8
