county,pov,moe
Abbeville,26.1,5.6
Aiken,20.4,2.5
Allendale,39.1,20.1
Anderson,21.4,2.6
Bamberg,30.4,8.2
Barnwell,43.2,8.6
Beaufort,19.8,3.0
Berkeley,15.6,2.2
Calhoun,27.9,9.1
Charleston,18.3,2.2
Cherokee,26.0,4.3
Chester,25.8,6.0
Chesterfield,28.4,5.3
Clarendon,28.9,6.2
Colleton,22.1,6.4
Darlington,31.7,5.6
Dillon,45.8,8.9
Dorchester,20.3,3.7
Edgefield,22.3,5.7
Fairfield,26.7,9.3
Florence,23.1,3.1
Georgetown,30.3,7.0
Greenville,14.7,1.4
Greenwood,28.6,4.6
Hampton,28.6,6.8
Horry,20.4,2.7
Jasper,26.7,8.3
Kershaw,21.8,3.8
Lancaster,16.1,3.4
Laurens,26.7,5.0
Lee,45.1,10.3
Lexington,15.5,1.9
McCormick,37.3,18.5
Marion,40.3,7.5
Marlboro,39.6,7.3
Newberry,22.7,5.1
Oconee,21.4,4.3
Orangeburg,37.1,4.1
Pickens,13.7,2.8
Richland,21.8,2.1
Saluda,20.6,6.1
Spartanburg,19.5,1.9
Sumter,21.1,3.0
Union,35.1,6.8
Williamsburg,27.4,8.0
York,10.4,1.8
