county,pov,moe
Allendale,27.694504663847795,20.1
McCormick,26.21861453859789,18.5
Dillon,25.184304635324857,8.9
Lee,24.154304635324856,10.3
Barnwell,23.124304635324854,8.600000000000001
Marion,19.176061226005682,7.500000000000001
Marlboro,18.679469399493378,7.3
Bamberg,18.11051185665425,8.200000000000001
Calhoun,17.657055832769764,9.1
Union,17.49257063785115,6.800000000000001
Fairfield,17.41997042590891,9.3
Georgetown,17.126672601047016,6.999999999999999
Williamsburg,16.782342626174845,8
Jasper,16.61718706845841,8.3
Hampton,16.509596538637318,6.800000000000001
Darlington,16.493292283149795,5.599999999999999
Clarendon,16.429475079880124,6.199999999999999
Orangeburg,15.765387571595985,4.1000000000000005
Chesterfield,15.379591914857983,5.3
Greenwood,15.216251139621379,4.6
Abbeville,14.627426025285672,5.599999999999999
Chester,14.522930452812563,6
Laurens,14.425898365444853,5
Colleton,13.995586683227298,6.4
Edgefield,13.803123686993413,5.699999999999999
Cherokee,13.688876976177546,4.300000000000001
Newberry,13.648884372565659,5.1
Florence,12.671499619185006,3.0999999999999996
Saluda,12.47762230565132,6.1000000000000005
Kershaw,12.383733605543748,3.8
Oconee,12.050590032656173,4.300000000000001
Anderson,11.374918318067198,2.6
Richland,11.292975918304098,2.1
Sumter,11.182512330263169,3
Dorchester,10.554788864538953,3.7000000000000006
Aiken,10.502323557730914,2.5
Horry,10.360079632764652,2.7
Beaufort,9.964855287618956,3
Spartanburg,9.207092422611352,1.9
Lancaster,9.12406519467487,3.4000000000000004
Charleston,9.018136211132173,2.2
Berkeley,8.274541970976557,2.2
Lexington,7.715719058517827,1.9
Greenville,7.0165161738368145,1.3999999999999997
Pickens,6.669520222961189,2.7999999999999994
York,5.214313399931765,1.7999999999999998
