county,pov,moe
Bennett,28.829403016253153,17.8
Jones,28.027486232787584,16.9
Faulk,26.73767572227417,15.2
Douglas,26.509148942512905,15.1
Jackson,25.65808406095688,13.700000000000001
Mellette,25.60519835343864,13.600000000000001
Fall River,23.85250104182611,11.600000000000001
Bon Homme,23.29654593254039,11.000000000000002
Buffalo,22.43808648772479,9.6
Tripp,22.071319291722542,9.1
Oglala Lakota,21.865716581636768,8.8
Walworth,21.449079420442885,9.1
Lyman,21.415157581703557,8.3
Roberts,21.322865723155033,8.200000000000001
Potter,21.13098831787716,10.1
Charles Mix,21.101668512958422,8
Ziebach,20.753425334958088,7.400000000000001
Perkins,20.730723670818396,8.3
Dewey,20.664537613181263,7.3
Brule,20.643983844693203,7.7
Miner,20.643125604047473,9.8
Day,20.24458969054487,7.1
Corson,20.13151005225129,6.599999999999999
Davison,19.80660614274118,6.800000000000001
Todd,19.762258084998212,6.1000000000000005
Lake,19.55983638845935,7.1
Clay,18.624832207786927,6.3
Gregory,18.438733232621942,5.4
Haakon,18.1869888737415,8.3
Spink,18.076743359503585,5.3
Pennington,16.915039295358213,2.9000000000000004
Brown,16.594209419385837,4.4
Turner,16.53773257439538,5.2
Hutchinson,16.471056791206372,9
Moody,16.11311837925151,4.1000000000000005
Custer,15.9123856853167,6.999999999999999
Hughes,15.337511736880383,5.2
Codington,14.518420131245238,3.2
Hamlin,14.19231336419923,6
Jerauld,14.175349229117042,7.199999999999999
Hanson,12.96177096587306,7.7
Lawrence,12.175837244469639,4.5
Grant,11.554778606426195,6.199999999999999
Edmunds,10.604261444531804,7.8
Minnehaha,9.109963293691987,1.7999999999999998
Beadle,8.738519930403434,4.5
Hyde,8.669325768289484,6.7
Lincoln,6.906550808011862,2.7
Union,6.375870386050337,3
McCook,6.071141664459582,4.4
Yankton,5.495033470408931,4.4
Marshall,5.020009851857902,4.8
Kingsbury,4.445247285971923,4.1000000000000005
McPherson,4.017999152650189,4.1000000000000005
Aurora,3.616383818460463,3.8
Meade,3.272609393981743,3.4999999999999996
Brookings,3.0172630475456437,3.9
Sully,2.9237917920632697,7.7
Sanborn,2.5905329283277276,4.2
Clark,2.422495001956817,4
Deuel,2.2756296229628403,2.7999999999999994
Butte,2.183099668209581,3.0999999999999996
Hand,2.116953900901157,4.300000000000001
Campbell,2.059830164319988,3.7000000000000006
Stanley,2.0251986523615404,4.5
Harding,2.003946209305771,1.9
